Unnamed: 0,Rule,K,Enzyme,EC Numbers,EC_Number_firstdigit,reac_id,reac_name,reac_meta_name,reac_meta_value,reac_meta_name_list,Km,Kcat,Gibbs,SMILES
7,YAL012W,K01758,cystathionine gamma-lyase ,4.4.1.1,4,CYSTGL,Cystathionine g lyase,2obut_c,1,2-Oxobutanoate,,,-60.026466,CCC(=O)C([O-])=O
8,YAL012W,K01758,cystathionine gamma-lyase ,4.4.1.1,4,CYSTGL,Cystathionine g lyase,cys__L_c,1,L-Cysteine,0.275,0.15,-9.312156,[NH3+][C@@H](CS)C([O-])=O
9,YAL012W,K01758,cystathionine gamma-lyase ,4.4.1.1,4,CYSTGL,Cystathionine g lyase,cyst__L_c,-1,L-Cystathionine,0.45,1.41,-11.114318,[NH3+][C@@H](CCSC[C@H]([NH3+])C([O-])=O)C([O-])=O
11,YAL012W,K01758,cystathionine gamma-lyase ,4.4.1.1,4,CYSTGL,Cystathionine g lyase,nh4_c,1,Ammonium,,,11.853362,[H][N+]([H])([H])[H]
12,YAL022C,K15014,"solute carrier family 29 (equilibrative nucleoside transporter), member 1/2/3 ",,,ADNt2,Adenosine transport in via proton symport,adn_c,1,Adenosine,,,87.03457,Nc1ncnc2n(cnc12)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
13,YAL022C,K15014,"solute carrier family 29 (equilibrative nucleoside transporter), member 1/2/3 ",,,ADNt2,Adenosine transport in via proton symport,adn_e,-1,Adenosine,,,87.03457,Nc1ncnc2n(cnc12)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
16,YAL022C,K15014,"solute carrier family 29 (equilibrative nucleoside transporter), member 1/2/3 ",,,CYTDt2,Cytidine transport in via proton symport,cytd_c,1,Cytidine,,,-22.12543,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)n1
17,YAL022C,K15014,"solute carrier family 29 (equilibrative nucleoside transporter), member 1/2/3 ",,,CYTDt2,Cytidine transport in via proton symport,cytd_e,-1,Cytidine,,,-22.12543,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)n1
23,YAL054C,K01895,acetyl-CoA synthetase ,6.2.1.1,6,ACSm,Acetyl CoA synthetase,ac_m,-1,Acetate,0.337,,-57.768696,CC([O-])=O
24,YAL054C,K01895,acetyl-CoA synthetase ,6.2.1.1,6,ACSm,Acetyl CoA synthetase,accoa_m,1,Acetyl-CoA,1.8,,-506.8639,CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP([O-])(=O)OP([O-])(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP([O-])([O-])=O)n1cnc2c(N)ncnc12
25,YAL054C,K01895,acetyl-CoA synthetase ,6.2.1.1,6,ACSm,Acetyl CoA synthetase,amp_m,1,AMP C10H12N5O7P,,,-135.89479,Nc1ncnc2n(cnc12)[C@@H]1O[C@H](COP([O-])([O-])=O)[C@@H](O)[C@H]1O
26,YAL054C,K01895,acetyl-CoA synthetase ,6.2.1.1,6,ACSm,Acetyl CoA synthetase,atp_m,-1,ATP C10H12N5O13P3,1.2,,-553.6995,Nc1ncnc2n(cnc12)[C@@H]1O[C@H](COP([O-])(=O)OP([O-])(=O)OP([O-])([O-])=O)[C@@H](O)[C@H]1O
27,YAL054C,K01895,acetyl-CoA synthetase ,6.2.1.1,6,ACSm,Acetyl CoA synthetase,coa_m,-1,Coenzyme A,0.1365,,-493.56613,CC(C)(COP([O-])(=O)OP([O-])(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP([O-])([O-])=O)n1cnc2c(N)ncnc12)[C@@H](O)C(=O)NCCC(=O)NCCS
28,YAL054C,K01895,acetyl-CoA synthetase ,6.2.1.1,6,ACSm,Acetyl CoA synthetase,ppi_m,1,Diphosphate,,,-473.4674,OP([O-])(=O)OP([O-])([O-])=O
29,YAL054C,K01895,acetyl-CoA synthetase ,6.2.1.1,6,ACSp,Acetyl CoA synthetase,ac_x,-1,Acetate,0.337,,-57.768696,CC([O-])=O
30,YAL054C,K01895,acetyl-CoA synthetase ,6.2.1.1,6,ACSp,Acetyl CoA synthetase,accoa_x,1,Acetyl-CoA,1.8,,-506.8639,CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP([O-])(=O)OP([O-])(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP([O-])([O-])=O)n1cnc2c(N)ncnc12
31,YAL054C,K01895,acetyl-CoA synthetase ,6.2.1.1,6,ACSp,Acetyl CoA synthetase,amp_x,1,AMP C10H12N5O7P,,,-135.89479,Nc1ncnc2n(cnc12)[C@@H]1O[C@H](COP([O-])([O-])=O)[C@@H](O)[C@H]1O
32,YAL054C,K01895,acetyl-CoA synthetase ,6.2.1.1,6,ACSp,Acetyl CoA synthetase,atp_x,-1,ATP C10H12N5O13P3,1.2,,-553.6995,Nc1ncnc2n(cnc12)[C@@H]1O[C@H](COP([O-])(=O)OP([O-])(=O)OP([O-])([O-])=O)[C@@H](O)[C@H]1O
33,YAL054C,K01895,acetyl-CoA synthetase ,6.2.1.1,6,ACSp,Acetyl CoA synthetase,coa_x,-1,Coenzyme A,0.1365,,-493.56613,CC(C)(COP([O-])(=O)OP([O-])(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP([O-])([O-])=O)n1cnc2c(N)ncnc12)[C@@H](O)C(=O)NCCC(=O)NCCS
34,YAL054C,K01895,acetyl-CoA synthetase ,6.2.1.1,6,ACSp,Acetyl CoA synthetase,ppi_x,1,Diphosphate,,,-473.4674,OP([O-])(=O)OP([O-])([O-])=O
35,YAL060W,K00004,"(R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase ",1.1.1.4 1.1.1.- 1.1.1.303,1,BTDD_RR, R R  butanediol dehydrogenase,actn__R_c,1,(R)-acetoin,3,,10.048964,C[C@@H](O)C(C)=O
36,YAL060W,K00004,"(R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase ",1.1.1.4 1.1.1.- 1.1.1.303,1,BTDD_RR, R R  butanediol dehydrogenase,btd_RR_c,-1,"(2R,3R)-2,3-butanediol",14,,22.571203,C[C@@H](O)[C@@H](C)O
45,YBL013W,K00604,methionyl-tRNA formyltransferase ,2.1.2.9,2,FMETTRSm,Methionyl tRNA formyltransferase  mitochondrial,10fthf_m,-1,10-Formyltetrahydrofolate,,,18.715298,[H]C(=O)N(C[C@H]1CNc2[nH]c(N)nc(=O)c2N1)c1ccc(cc1)C(=O)N[C@@H](CCC([O-])=O)C([O-])=O
46,YBL013W,K00604,methionyl-tRNA formyltransferase ,2.1.2.9,2,FMETTRSm,Methionyl tRNA formyltransferase  mitochondrial,fmettrna_m,1,NA,,,NA,NA
