meta_name,SMILES,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
urdglyc_c,[C@@H](O)(C([O-])=O)NC(N)=O,0.051773053,-0.038118318,-0.021968964,0.054240186,-0.02178686,-0.029589528,-0.034450237,0.009781378,0.0238201,-0.04539793,-0.009352429,0.054402005,-0.06784002,0.027886903,-0.022985639,0.08183917,0.002756035,0.011043543,-0.001526677,0.026837805,0.001003891,0.021659292,0.03983956,0.0291882,-0.049978588,0.010034226,0.022852559,-0.078233585,-0.011429755,0.002163285,-0.062200844,0.023493633,0.015089975,0.03467942,-0.033979513,-0.013484342,0.02088431,0.027719462,0.033746228,0.012828352,-0.052096937,0.007486241,-0.009508416,0.02386074,0.02618692,-0.009601947,0.012559348,0.024905762,-0.009556137,-0.003207602,0.040407404,-0.04387392,0.025494179,-0.034656502,0.01588241,-0.012566879,0.02931909,0.004124511,-0.08526885,0.064641505,0.009164854,0.03429219,0.08820992,0.006359483,0.025119834,0.007821923,-0.027867394,0.023239316,0.052223016,0.012144608,-0.044286408,-0.010957062,0.05626107,0.003852719,0.045221724,-0.05140861,0.02841991,0.025575714,0.048863158,0.07804622,-0.02488427,-0.06237478,-0.06806113,0.021341043,0.06426622,0.034443732,-0.033164024,0.021403844,0.05604044,-0.009495631,-0.006789894,-0.052967165,-0.008250662,0.024952643,0.02441662,0.04040331,0.030646825,-0.03857962,0.055827104,-0.06361975,-0.020562537,0.001167361,0.04259918,-0.037967898,-0.005594553,-0.022921424,-0.024236862,-0.026947703,0.018433996,0.010895335,-0.052625284,0.06470707,-0.043410614,-0.001066505,-0.013967287,0.03173347,-0.07567167,-0.012389828,0.003006629,-0.036731124,0.02872643,-0.013997349,0.00701118,-0.007170714,-0.076454625,0.05689024,-0.028407345,0.017596466
mi145p_n,[C@@H]1(O)([C@@H](OP([O-])([O-])=O)[C@H](O)[C@@H](OP(=O)([O-])[O-])[C@H](OP(=O)([O-])[O-])[C@@H](O)1),0.077139534,-0.067738995,-0.04842758,0.098332725,-0.019269349,-0.04484646,-0.05189714,0.010393732,0.040351667,-0.0630857,-0.007116274,0.07658526,-0.105998024,0.036084678,-0.04858429,0.12682612,0.004890154,0.003161251,0.004933687,0.040320475,-0.009372659,0.042227022,0.07165829,0.055064037,-0.08866283,0.015681751,0.017714238,-0.1281693,-0.007180103,-0.001306151,-0.092528954,0.04150102,0.038787913,0.0659446,-0.052779414,-0.026060415,0.034964193,0.039326183,0.054916073,0.031069186,-0.0779333,0.01753828,-0.000661722,0.035818316,0.039232466,-0.013733692,0.026593143,0.042085674,-0.016495854,-0.000788057,0.05200802,-0.08187927,0.049961478,-0.06969613,0.027289117,-0.032662693,0.040619202,0.017464569,-0.135544,0.1096187,0.018892752,0.050164267,0.14194706,0.004896252,0.040122367,0.003316707,-0.044487834,0.035975378,0.07680952,0.011187309,-0.06431024,0.000482986,0.09365095,0.000308978,0.0876763,-0.09173128,0.055352315,0.04614647,0.08126878,0.13986671,-0.021203978,-0.09547974,-0.0987809,0.035303228,0.10931306,0.044524934,-0.058820166,0.039714217,0.09478429,-0.019588912,-0.021036917,-0.076098256,-0.011332485,0.022935975,0.044914525,0.057473905,0.061203506,-0.058419663,0.10089014,-0.10678426,-0.024916416,0.012044652,0.063358426,-0.08089413,-0.013241318,-0.054550424,-0.044231165,-0.02824709,0.046749596,0.031679027,-0.08703056,0.110016845,-0.06904203,0.001303204,-0.033343118,0.03873598,-0.11841462,-0.023575412,-0.002256496,-0.04947766,0.04639007,-0.020847686,0.011411314,-0.020061692,-0.13038142,0.0814137,-0.048132934,0.02035841
mi1456p_n,[C@@H]1(O)([C@@H](OP([O-])([O-])=O)[C@H](OP([O-])(=O)[O-])[C@@H](OP([O-])(=O)[O-])[C@H](OP(=O)([O-])[O-])[C@@H](O)1),0.09029938,-0.0860352,-0.058210343,0.12040278,-0.019016182,-0.05415514,-0.05596465,0.004545903,0.049562246,-0.070530936,-0.016876852,0.08212107,-0.11653549,0.048237428,-0.04878375,0.14254262,0.014877507,0.006797039,0.002631002,0.035362113,-0.005920004,0.04448383,0.08241166,0.058244947,-0.09375132,0.023988074,0.03186626,-0.1430923,-0.011494717,0.003801921,-0.10183522,0.058241744,0.04139144,0.07070154,-0.056607354,-0.018249305,0.04456373,0.04339818,0.053321756,0.025362011,-0.087361924,0.017012872,-0.00227013,0.042631313,0.04077931,-0.024977485,0.03562956,0.053452484,-0.025216818,0.012161708,0.06726033,-0.09569022,0.042169787,-0.07492691,0.021124402,-0.028369455,0.04507486,0.028710254,-0.16075918,0.11099062,0.014811363,0.050396558,0.15733236,0.010721728,0.042045366,0.000678808,-0.048665524,0.029534455,0.09002638,0.018166037,-0.07846541,-0.007128005,0.09185771,0.006243502,0.09275726,-0.10344349,0.06138897,0.057336874,0.10474084,0.15271676,-0.036671788,-0.1166945,-0.12540445,0.042890828,0.12556976,0.060391095,-0.0620274,0.04304427,0.09964502,-0.024183672,-0.026920734,-0.09460736,-0.009378782,0.027556881,0.03858302,0.06889326,0.068357736,-0.07702025,0.105442666,-0.120027184,-0.037163503,0.009082248,0.070059985,-0.087440364,-0.031410124,-0.05745504,-0.053634647,-0.04167414,0.046934962,0.02589586,-0.09482195,0.13076814,-0.076914825,0.00455229,-0.025815774,0.049588345,-0.14327027,-0.043035816,0.001471958,-0.05495579,0.040287126,-0.03525664,0.006271507,-0.029633047,-0.13376313,0.09049525,-0.06591833,0.031151772
mi1345p_n,[C@@H]1(O)([C@@H](OP([O-])(=O)[O-])[C@H](OP(=O)([O-])[O-])[C@@H](OP(=O)([O-])[O-])[C@@H](O)[C@@H](OP([O-])([O-])=O)1),0.09057887,-0.09068248,-0.055033077,0.10695906,-0.031211767,-0.047196,-0.05567296,0.00303454,0.045865573,-0.07189057,-0.005466438,0.093583025,-0.11924019,0.054157242,-0.055861175,0.14048515,0.005305833,0.009395096,0.004467406,0.04884807,-0.008253348,0.03986743,0.07782576,0.072070435,-0.09414683,0.02015038,0.035873417,-0.14024924,-0.018510045,0.005347151,-0.09554604,0.06302845,0.034705304,0.07734438,-0.053750876,-0.028795538,0.04757125,0.04531276,0.057255503,0.030556837,-0.08418038,0.00833233,-0.014860587,0.05196485,0.04157413,-0.028446604,0.031853776,0.054401256,-0.013228874,-0.000352357,0.06595369,-0.10122255,0.04379271,-0.07016252,0.024161203,-0.029585306,0.044765443,0.029344048,-0.15689465,0.11838562,0.02576554,0.051458128,0.16088666,-0.00129506,0.038311195,0.012998292,-0.048391577,0.028464606,0.08988499,0.019983716,-0.06382737,-0.007979083,0.10309189,-0.004845295,0.08688246,-0.10383307,0.06545552,0.04779905,0.10142091,0.14773427,-0.024603467,-0.11137445,-0.12060422,0.051381223,0.12783258,0.049750153,-0.062122975,0.053659122,0.1076729,-0.013992512,-0.015388572,-0.0937028,-0.020649616,0.03677858,0.04706772,0.06426148,0.066238806,-0.071400076,0.10917163,-0.11007712,-0.03949042,0.009574705,0.06802206,-0.092266664,-0.017187227,-0.06123862,-0.06533308,-0.0333297,0.050305672,0.031647667,-0.08757594,0.12464066,-0.07115923,0.009675228,-0.028362276,0.049194627,-0.1440217,-0.041858036,0.002366705,-0.061985325,0.048192125,-0.030660503,0.003121789,-0.033485193,-0.14026327,0.098485135,-0.060517054,0.023016153
fe2_e,[Fe++],0.060716804,-0.060717437,-0.041002378,0.07359913,-0.016502053,-0.030903473,-0.034999143,0.001701905,0.039569266,-0.053221237,0.00090471,0.05318415,-0.071167685,0.03975702,-0.034719143,0.09594359,0.008274578,0.004589193,-0.003433285,0.021976361,-0.003019489,0.028757486,0.05290654,0.03774429,-0.053486094,0.009753325,0.02547248,-0.08741377,-0.004047526,0.00138788,-0.0701181,0.031638954,0.023026364,0.048796326,-0.036369964,-0.013012647,0.025223725,0.025414906,0.040972292,0.026832573,-0.06328447,0.008547925,-0.005642653,0.03571808,0.02164513,-0.019604739,0.02328533,0.024853768,-0.014034269,0.005131612,0.036259875,-0.0604766,0.036273133,-0.040346704,0.016982555,-0.02597414,0.024790231,0.010064649,-0.10844828,0.07557383,0.009616604,0.037587445,0.11114243,0.00675423,0.025019186,-0.003037194,-0.03558222,0.016405858,0.056291733,0.016633239,-0.049942493,-0.00652359,0.06617249,0.005047771,0.055501737,-0.06385463,0.03818719,0.03862877,0.058893092,0.10165097,-0.015079259,-0.07865877,-0.08433306,0.022652976,0.082510546,0.036214057,-0.050082803,0.03660566,0.065056264,-0.017334137,-0.015366983,-0.05862241,-0.009395927,0.024378508,0.029049575,0.036674973,0.04104027,-0.04069529,0.07611496,-0.07399446,-0.016430136,0.011478667,0.039474517,-0.0575646,-0.018250028,-0.039600726,-0.041214228,-0.027907146,0.023844343,0.01927814,-0.06222066,0.08370796,-0.047172103,0.003202849,-0.021735938,0.039607763,-0.083053686,-0.018595185,0.00595466,-0.04047366,0.02723982,-0.02368373,0.00307429,-0.010311273,-0.08593722,0.062137917,-0.042332098,0.009608275
fe2_m,[Fe++],0.062191967,-0.05710609,-0.037665468,0.0745303,-0.024592489,-0.028650908,-0.036905445,0.000632998,0.04200653,-0.04250646,-0.010703408,0.06251829,-0.08146571,0.03713094,-0.039993074,0.095733054,0.007754507,-0.00246141,0.000281026,0.03475522,-8.26E-05,0.022997769,0.04846774,0.043764833,-0.060291234,0.016057923,0.018009925,-0.0864906,-0.003341537,-0.004647204,-0.07518088,0.043755494,0.026856093,0.048606925,-0.04215138,-0.013138627,0.03056068,0.030638196,0.03870354,0.02262664,-0.059133984,0.008321804,-0.007579787,0.036569867,0.019792704,-0.022790954,0.027190838,0.027809504,-0.008008984,0.006482249,0.03282427,-0.056186173,0.031659123,-0.044965602,0.01639766,-0.029759763,0.0341807,0.01154335,-0.108334705,0.0771706,0.007534104,0.034438636,0.109634146,0.001468673,0.032878544,-0.003201595,-0.025497219,0.025856212,0.049931556,0.007669502,-0.04146188,-0.0060912,0.06770869,0.006012943,0.05977722,-0.06845987,0.032080386,0.03826459,0.062567726,0.09742969,-0.022377338,-0.07128902,-0.07517613,0.033405468,0.08545332,0.031271607,-0.03884843,0.0388461,0.069940865,-0.016236298,-0.015262181,-0.061471544,-0.011485606,0.01970505,0.026619112,0.03989418,0.04406638,-0.05092732,0.07199057,-0.077991165,-0.025990197,0.00718014,0.04618382,-0.047954246,-0.017857967,-0.03930404,-0.03049629,-0.020769231,0.025453549,0.015311879,-0.05548652,0.08298908,-0.049538888,0.001363413,-0.016735196,0.032742962,-0.09652964,-0.02703485,0.003366183,-0.0358821,0.03463586,-0.027738972,0.010221595,-0.023404108,-0.09366875,0.055833146,-0.03380922,0.010370161
ggl_c,[H][C@@](O)(CO)CO[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,0.0740801,-0.088097766,-0.058052476,0.10665472,-0.032285005,-0.03879876,-0.05234575,0.013363227,0.055711772,-0.07322913,-0.007656436,0.08700979,-0.118113264,0.051682483,-0.04798867,0.14156772,0.003910574,0.01045708,0.002223784,0.03577781,-0.002562998,0.046422508,0.065474555,0.07083027,-0.08939584,0.027448883,0.02536276,-0.1380234,-0.016126048,0.009168252,-0.09963475,0.05622727,0.03963424,0.07561529,-0.057174623,-0.028482914,0.04652815,0.036335077,0.044067755,0.03309361,-0.07919119,0.006089713,-0.014479729,0.04141201,0.033631098,-0.027567228,0.02201694,0.054184675,-0.023339082,0.006231384,0.06495601,-0.09202199,0.051178634,-0.068805076,0.015860468,-0.027291488,0.051027123,0.02859829,-0.1559742,0.11651662,0.016116306,0.05789342,0.14545414,0.005805899,0.035582155,0.001517553,-0.03887991,0.03946561,0.082436316,0.027820406,-0.07144913,-0.006989848,0.09311135,0.006862347,0.09569628,-0.08495532,0.06247237,0.05171462,0.097847596,0.14153878,-0.029215047,-0.11298642,-0.11947994,0.04308359,0.12662996,0.045945466,-0.06659491,0.050827578,0.104530595,-0.015425635,-0.01398361,-0.082943745,-0.01554288,0.026774997,0.039013855,0.064172216,0.057430413,-0.06970783,0.10823801,-0.11209566,-0.032934755,0.011241862,0.07248916,-0.08618116,-0.018114464,-0.0488708,-0.05329153,-0.03891827,0.038749278,0.03165918,-0.08321091,0.12510318,-0.077456765,0.008534115,-0.029435152,0.046807136,-0.13799578,-0.031287756,-0.007828334,-0.05432482,0.04663681,-0.0364404,0.010529638,-0.024662158,-0.13114385,0.096514046,-0.05140818,0.027327685
4mzym_c,[H][C@@]1(CC[C@@]2([H])C3=C(CC[C@]12C)[C@@]1(C)CC[C@H](O)[C@@H](C)[C@]1([H])CC3)[C@H](C)CCC=C(C)C,0.13040237,-0.12916176,-0.07379423,0.1684894,-0.045994867,-0.072888136,-0.08309536,0.020538015,0.08627856,-0.10089596,-0.016137766,0.12305861,-0.17776708,0.08160292,-0.08302507,0.21535501,0.016043114,0.004795846,0.011760552,0.05473899,-0.005851145,0.0693023,0.113480665,0.10718009,-0.14505418,0.03331163,0.04735373,-0.21021779,-0.020961769,-0.000620898,-0.15740038,0.08008829,0.060237784,0.11660698,-0.087621585,-0.027830372,0.06587409,0.071888186,0.087195225,0.04471169,-0.13449462,0.02316755,-0.02088311,0.0709528,0.06489238,-0.03129363,0.052444946,0.073171556,-0.027316634,0.009589735,0.09578676,-0.14051425,0.072278276,-0.11012667,0.04046188,-0.057771634,0.07995103,0.035527837,-0.23243631,0.17708835,0.027973233,0.08842603,0.24308488,0.006436455,0.05146104,0.011504984,-0.063321106,0.05301921,0.1178354,0.033404257,-0.1140277,-0.01545853,0.15428193,0.007311694,0.14370261,-0.15196991,0.08874369,0.08912262,0.14415476,0.22641772,-0.040188614,-0.17249744,-0.18712607,0.06789096,0.18828075,0.0827752,-0.10760946,0.06864783,0.14478183,-0.028007746,-0.034815654,-0.13415955,-0.017590063,0.053573772,0.0626797,0.097035296,0.090224765,-0.09992561,0.161172,-0.16666023,-0.05064749,0.01630299,0.113318145,-0.12175871,-0.027714575,-0.08403386,-0.08685234,-0.057303507,0.0711332,0.044508755,-0.14301307,0.19881554,-0.1214245,0.01298667,-0.046747528,0.07413237,-0.20846543,-0.057508957,0.001154124,-0.089913614,0.07650588,-0.046642855,0.02383411,-0.04315017,-0.21347433,0.15043773,-0.09501635,0.033731975
fecost_c,[H][C@@]1(CC[C@@]2([H])C3=C(CC[C@]12C)[C@@]1(C)CC[C@H](O)C[C@]1([H])CC3)[C@H](C)CCC(=C)C(C)C,0.1433622,-0.13477029,-0.08897997,0.17456707,-0.05140266,-0.07544696,-0.08737997,0.02246139,0.08842306,-0.10991483,-0.013751233,0.1404184,-0.19575687,0.08050312,-0.08886845,0.23951109,0.012624663,0.008408071,0.009694913,0.071674235,-0.007440388,0.08040321,0.1295239,0.112991415,-0.15419999,0.03797298,0.04491979,-0.22599448,-0.015546317,-0.002188943,-0.17043474,0.090393,0.06120686,0.12335538,-0.093435615,-0.033648826,0.07334445,0.062654145,0.089893684,0.047926173,-0.14102963,0.026210072,-0.023515586,0.077784844,0.058035653,-0.034244545,0.04219261,0.07589254,-0.038180787,0.010222096,0.10094996,-0.14570895,0.076232776,-0.11654892,0.045704443,-0.053931814,0.07892926,0.02708415,-0.25618663,0.18764752,0.02719198,0.08873311,0.25638092,5.21E-05,0.0681627,0.004047713,-0.07168727,0.055001058,0.13637938,0.03676441,-0.11986658,-0.008925332,0.16126005,0.007506435,0.15525039,-0.15240374,0.10107756,0.094321996,0.16366805,0.2487272,-0.042842902,-0.18564498,-0.19681783,0.07723833,0.20477252,0.093929686,-0.11913323,0.08660441,0.1638436,-0.021953527,-0.033660628,-0.15653737,-0.033242267,0.05296491,0.06534698,0.09535615,0.1026109,-0.11843026,0.17378667,-0.17929791,-0.06214998,0.028221253,0.10966586,-0.13268052,-0.037574697,-0.08328103,-0.09598703,-0.063035436,0.06377739,0.05485501,-0.15466318,0.21249685,-0.12475454,0.010818651,-0.054439083,0.06993097,-0.2158743,-0.059277315,0.000500698,-0.10001829,0.07366624,-0.05429455,0.010917714,-0.04560968,-0.2261008,0.16269326,-0.10158238,0.033125047
fecost_e,[H][C@@]1(CC[C@@]2([H])C3=C(CC[C@]12C)[C@@]1(C)CC[C@H](O)C[C@]1([H])CC3)[C@H](C)CCC(=C)C(C)C,0.13826211,-0.1296235,-0.08820584,0.16921963,-0.036782365,-0.072323814,-0.08526933,0.015851127,0.09245043,-0.11614121,-0.011846831,0.13221137,-0.18872131,0.08431527,-0.09348735,0.23278166,0.00505978,0.00982226,0.016653676,0.06934359,-0.011294811,0.0668584,0.11529617,0.10702656,-0.14245291,0.042228725,0.047939688,-0.21564339,-0.018851,0.003566411,-0.16886476,0.08051746,0.052214082,0.10788473,-0.09362802,-0.029720427,0.06662834,0.0675417,0.07921778,0.045999557,-0.14062743,0.015407315,-0.014449865,0.07191577,0.063199475,-0.041675456,0.04055043,0.07592929,-0.033688948,0.004267372,0.09730613,-0.14932984,0.07472009,-0.11634088,0.036743544,-0.060964625,0.07919387,0.026749574,-0.2518191,0.1888913,0.022043653,0.09496804,0.2547053,0.00978903,0.05413826,0.010614969,-0.06765969,0.053869583,0.13160163,0.029763026,-0.10475766,-0.01277363,0.16199389,0.012319129,0.14088924,-0.15840797,0.09065423,0.088333905,0.15581907,0.24471648,-0.049379576,-0.18347341,-0.18704127,0.066796556,0.1946207,0.09043542,-0.11627729,0.079332925,0.15977497,-0.02334584,-0.03472863,-0.14589575,-0.018760512,0.05933977,0.07509585,0.102832064,0.09714569,-0.10409902,0.16615337,-0.18254162,-0.057329632,0.019736463,0.112798564,-0.13115306,-0.03776114,-0.09061057,-0.09132838,-0.05987418,0.069721036,0.039895702,-0.15265794,0.20180821,-0.11826798,0.013879615,-0.058783084,0.07475776,-0.21010175,-0.058520537,0.007253188,-0.094064936,0.08634568,-0.048594054,0.010840828,-0.046776745,-0.22748084,0.14670464,-0.08865356,0.038833708
