Unnamed: 0,Rule,K,Enzyme,EC Numbers,EC_Number_firstdigit,reac_id,reac_name,meta_name,reac_meta_value,meta_name_long,Gibbs,smiles
4,b0003,K00872,homoserine kinase ,2.7.1.39,2,HSK,Homoserine kinase,hom__L_c,-1,L-Homoserine,-30.089912,[NH3+][C@@H](CCO)C([O-])=O
5,b0003,K00872,homoserine kinase ,2.7.1.39,2,HSK,Homoserine kinase,phom_c,1,O-Phospho-L-homoserine,-254.10927,C(OP([O-])(=O)[O-])C[C@H]([NH3+])C([O-])=O
6,b0003,K00872,homoserine kinase ,2.7.1.39,2,4HTHRK,4-Hydroxy-L-threonine kinase,4hthr_c,-1,4-Hydroxy-L-threonine,-68.12991,[NH3+][C@@H]([C@H](O)CO)C([O-])=O
10,b0003,K00872,homoserine kinase ,2.7.1.39,2,4HTHRK,4-Hydroxy-L-threonine kinase,phthr_c,1,"4-phosphooxy-L-threonine	",-292.1493,C(=O)([O-])[C@@H]([NH3+])[C@H](O)COP([O-])(=O)[O-]
12,b0004,K01733,threonine synthase ,4.2.3.1,4,THRS,Threonine synthase,phom_c,-1,O-Phospho-L-homoserine,-254.10927,C(OP([O-])(=O)[O-])C[C@H]([NH3+])C([O-])=O
14,b0004,K01733,threonine synthase ,4.2.3.1,4,THRS,Threonine synthase,thr__L_c,1,L-Threonine,-30.559916,C[C@@H](O)[C@H]([NH3+])C([O-])=O
15,b0007,K03310,"alanine or glycine:cation symporter, AGCS family ",,,ALAt4pp,L-alanine transport in via sodium symport (periplasm),ala__L_c,1,L-Alanine,-16.772158,C[C@H]([NH3+])C([O-])=O
16,b0007,K03310,"alanine or glycine:cation symporter, AGCS family ",,,ALAt4pp,L-alanine transport in via sodium symport (periplasm),ala__L_p,-1,L-Alanine,-16.772158,C[C@H]([NH3+])C([O-])=O
17,b0007,K03310,"alanine or glycine:cation symporter, AGCS family ",,,ALAt4pp,L-alanine transport in via sodium symport (periplasm),na1_c,1,sodium,-0.3120594,[Na+]
18,b0007,K03310,"alanine or glycine:cation symporter, AGCS family ",,,ALAt4pp,L-alanine transport in via sodium symport (periplasm),na1_p,-1,sodium,-0.3120594,[Na+]
19,b0007,K03310,"alanine or glycine:cation symporter, AGCS family ",,,GLYt4pp,Glycine transport in via sodium symport (periplasm),gly_c,1,Glycine,-37.2444,[NH3+]CC([O-])=O
20,b0007,K03310,"alanine or glycine:cation symporter, AGCS family ",,,GLYt4pp,Glycine transport in via sodium symport (periplasm),gly_p,-1,Glycine,-37.2444,[NH3+]CC([O-])=O
21,b0007,K03310,"alanine or glycine:cation symporter, AGCS family ",,,GLYt4pp,Glycine transport in via sodium symport (periplasm),na1_c,1,sodium,-0.3120594,[Na+]
22,b0007,K03310,"alanine or glycine:cation symporter, AGCS family ",,,GLYt4pp,Glycine transport in via sodium symport (periplasm),na1_p,-1,sodium,-0.3120594,[Na+]
26,b0009,K03831,molybdopterin adenylyltransferase ,2.7.7.75,2,MPTAT,Molybdopterin adenylyltransferase,mpt_c,-1,Molybdopterin,-159.46623,[H][C@]12Nc3[nH]c(N)nc(=O)c3N[C@@]1([H])C(S)C(=S)[C@@H](COP([O-])([O-])=O)O2
27,b0009,K03831,molybdopterin adenylyltransferase ,2.7.7.75,2,MPTAT,Molybdopterin adenylyltransferase,mptamp_c,1,Adenylated molybdopterin,-293.3218,[H][C@]12Nc3[nH]c(N)nc(=O)c3N[C@@]1([H])C(S)C(=S)[C@@H](COP([O-])(=O)OP([O-])(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1cnc3c(N)ncnc13)O2
29,b0010,K07034,uncharacterized protein ,,,ACt2rpp,Acetate reversible transport via proton symport (periplasm),ac_c,1,Acetate,-57.768696,CC([O-])=O
30,b0010,K07034,uncharacterized protein ,,,ACt2rpp,Acetate reversible transport via proton symport (periplasm),ac_p,-1,Acetate,-57.768696,CC([O-])=O
35,b0019,K03313,"Na+:H+ antiporter, NhaA family ",,,NAt3_2pp,Sodium proton antiporter (H:NA is 2) (periplasm),na1_c,-1,sodium,-0.3120594,[Na+]
36,b0019,K03313,"Na+:H+ antiporter, NhaA family ",,,NAt3_2pp,Sodium proton antiporter (H:NA is 2) (periplasm),na1_p,1,sodium,-0.3120594,[Na+]
39,b0025,K11753,riboflavin kinase / FMN adenylyltransferase ,2.7.1.26 2.7.7.2,2,RBFK,Riboflavin kinase,fmn_c,1,FMN C17H19N4O9P,-193.56837,Cc1cc2nc3c(nc(=O)[n-]c3=O)n(C[C@H](O)[C@H](O)[C@H](O)COP([O-])([O-])=O)c2cc1C
41,b0025,K11753,riboflavin kinase / FMN adenylyltransferase ,2.7.1.26 2.7.7.2,2,RBFK,Riboflavin kinase,ribflv_c,-1,Riboflavin C17H20N4O6,31.699226,Cc1cc2nc3c(nc(=O)[n-]c3=O)n(C[C@H](O)[C@H](O)[C@H](O)CO)c2cc1C
43,b0025,K11753,riboflavin kinase / FMN adenylyltransferase ,2.7.1.26 2.7.7.2,2,FMNAT,FMN adenylyltransferase,fad_c,1,Flavin adenine dinucleotide oxidized,-327.42395,Cc1cc2nc3c(nc(=O)[n-]c3=O)n(C[C@H](O)[C@H](O)[C@H](O)COP([O-])(=O)OP([O-])(=O)OC[C@H]3O[C@H]([C@H](O)[C@@H]3O)n3cnc4c(N)ncnc34)c2cc1C
44,b0025,K11753,riboflavin kinase / FMN adenylyltransferase ,2.7.1.26 2.7.7.2,2,FMNAT,FMN adenylyltransferase,fmn_c,-1,FMN C17H19N4O9P,-193.56837,Cc1cc2nc3c(nc(=O)[n-]c3=O)n(C[C@H](O)[C@H](O)[C@H](O)COP([O-])([O-])=O)c2cc1C
47,b0029,K03527,4-hydroxy-3-methylbut-2-en-1-yl diphosphate reductase ,1.17.7.4,1,DMPPS,1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase (dmpp),dmpp_c,1,Dimethylallyl diphosphate,-349.54843,CC(C)=CCOP([O-])(=O)OP([O-])([O-])=O
48,b0029,K03527,4-hydroxy-3-methylbut-2-en-1-yl diphosphate reductase ,1.17.7.4,1,DMPPS,1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase (dmpp),h2mb4p_c,-1,1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate,-385.77847,C/C(=C\COP(=O)([O-])OP(=O)([O-])[O-])CO
53,b0029,K03527,4-hydroxy-3-methylbut-2-en-1-yl diphosphate reductase ,1.17.7.4,1,IPDPS,1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase (ipdp),h2mb4p_c,-1,1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate,-385.77847,C/C(=C\COP(=O)([O-])OP(=O)([O-])[O-])CO
56,b0029,K03527,4-hydroxy-3-methylbut-2-en-1-yl diphosphate reductase ,1.17.7.4,1,IPDPS,1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase (ipdp),ipdp_c,1,Isopentenyl diphosphate,-350.20844,CC(=C)CCOP([O-])(=O)OP([O-])([O-])=O
59,b0030,K12700,non-specific riboncleoside hydrolase ,3.2.2.-,3,ADNUC,Adenosine hydrolase,ade_c,1,Adenine,125.6056,Nc1ncnc2nc[nH]c12
60,b0030,K12700,non-specific riboncleoside hydrolase ,3.2.2.-,3,ADNUC,Adenosine hydrolase,adn_c,-1,Adenosine,87.03457,Nc1ncnc2n(cnc12)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
62,b0030,K12700,non-specific riboncleoside hydrolase ,3.2.2.-,3,ADNUC,Adenosine hydrolase,rib__D_c,1,D-Ribose,-76.8288,C(=O)[C@H](O)[C@H](O)[C@H](O)CO
64,b0030,K12700,non-specific riboncleoside hydrolase ,3.2.2.-,3,XTSNH,Xanthosine hydrolase,rib__D_c,1,D-Ribose,-76.8288,C(=O)[C@H](O)[C@H](O)[C@H](O)CO
65,b0030,K12700,non-specific riboncleoside hydrolase ,3.2.2.-,3,XTSNH,Xanthosine hydrolase,xan_c,1,xanthine,-25.57451,C12(NC(=O)NC(C(\N=C/N1)=2)=O)
66,b0030,K12700,non-specific riboncleoside hydrolase ,3.2.2.-,3,XTSNH,Xanthosine hydrolase,xtsn_c,-1,Xanthosine,-67.605545,OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1cnc2c1[nH]c(=O)[nH]c2=O
68,b0030,K12700,non-specific riboncleoside hydrolase ,3.2.2.-,3,INSH,Inosine hydrolase,hxan_c,1,Hypoxanthine,62.48449,O=c1[nH]cnc2[nH]cnc12
69,b0030,K12700,non-specific riboncleoside hydrolase ,3.2.2.-,3,INSH,Inosine hydrolase,ins_c,-1,Inosine,-20.28556,OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1cnc2c1nc[nH]c2=O
70,b0030,K12700,non-specific riboncleoside hydrolase ,3.2.2.-,3,INSH,Inosine hydrolase,rib__D_c,1,D-Ribose,-76.8288,C(=O)[C@H](O)[C@H](O)[C@H](O)CO
