meta_name,SMILES,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
isetac_c,OCCS([O-])(=O)=O,0.03398627,0.045758173,-0.048090305,0.2111494,0.007556038,-0.09389132,0.004658002,-0.07440577,-0.016658125,-0.04990715,0.013202489,0.034906518,-0.033464085,-0.051494043,-0.060797945,0.13594571,-0.055549774,-0.033712946,-0.015096835,-0.057217143,0.11176871,-0.032303564,0.035198722,0.003205166,0.025244627,-0.028456856,0.09661816,-0.123226196,-0.029948039,-0.025616232,-0.06876674,0.03872702,0.016346086,0.08702061,-0.068881854,0.028461894,0.08276013,-0.041059192,0.0922141,-0.004453574,-0.033933733,0.010743805,0.026611222,0.022734515,-0.03641117,0.046506025,-0.005850582,-0.052469,0.02746197,0.026501702,0.03287109,-0.033978127,0.06428282,0.040061567,0.010379759,0.035424784,-0.015946971,-0.006239208,-0.0733651,0.03971094,-0.016657127,-0.036203284,0.16179937,0.09348502,0.01298686,0.043077298,-0.07716623,0.043115154,0.07740272,0.1096029,-0.07193626,-0.035242643,0.06902426,-0.00526747,0.003898067,0.043850146,-0.007289391,-0.023427555,-0.025744166,0.04281004,-0.05914153,-0.023178445,0.014656267,-0.010160822,0.11404408,0.042409312,0.00883147,-0.07621863,0.054413877,-0.072101034,0.01027091,-0.042250115,0.07262792,0.03963848,-0.026318144,0.04488041,-0.033859804,-0.05462563,0.045425005,-0.08603979,-0.030841999,-0.038202804,-0.063416414,0.027014142,0.039275322,0.005789601,-0.040250592,-0.06612447,0.006014284,-0.012486611,-0.049325895,0.05259161,-0.003441241,0.054055255,-0.02064443,0.10098787,-0.13763565,0.16860145,-0.001088527,0.019413386,-0.011891754,-0.050068986,0.072768636,-0.11048644,0.053118166,0.037252516,0.000888798,0.012310094
13ppd_c,OCCCO,0.019105995,0.032709274,-0.036719613,0.13699992,0.014002521,-0.059568267,0.004772386,-0.04918163,-0.014631457,-0.026566546,0.013558295,0.016049854,-0.018662458,-0.041274745,-0.043159556,0.08283087,-0.036675766,-0.028739773,-0.006374654,-0.035494506,0.063357875,-0.017084695,0.027278768,0.002565742,0.010293982,-0.02143388,0.049400795,-0.08144811,-0.01232109,-0.02082941,-0.04078313,0.022035334,0.019489631,0.05966845,-0.04397839,0.013972272,0.050652843,-0.0280857,0.06309702,0.003713281,-0.018947352,0.013288528,0.026554743,0.011451406,-0.021487717,0.03425884,-0.001233172,-0.033560228,0.017183924,0.016575169,0.014272586,-0.025307141,0.048731487,0.017779043,0.011707542,0.017284833,-0.014256923,-0.000373981,-0.043730192,0.03140278,-0.007035231,-0.024731856,0.10262197,0.057344835,0.011620899,0.022910412,-0.052063596,0.029453324,0.047579646,0.06265089,-0.04348342,-0.011068771,0.047986317,-0.005605599,0.01006886,0.02156891,-9.54E-05,-0.01450492,-0.018924927,0.03540079,-0.02582752,-0.010607332,0.018775288,-0.008805215,0.07296882,0.020340066,0.005121454,-0.047945876,0.03772391,-0.05028774,0.001335595,-0.018364063,0.048599403,0.014377893,-0.012506988,0.026213234,-0.013351368,-0.029864712,0.036842294,-0.059519622,-0.01199785,-0.02029725,-0.04341055,0.006717862,0.027655797,-0.006409947,-0.024038343,-0.032795087,0.014152464,0.000338556,-0.03448113,0.03277281,-0.001207082,0.034156322,-0.019619877,0.05626386,-0.0835993,0.11029913,-0.00553004,0.01763787,-0.005210965,-0.026969992,0.046730407,-0.07146934,0.028795937,0.016754784,0.002309231,0.003815516
ghb_c,OCCCC([O-])=O,0.026955456,0.027834827,-0.048010945,0.17182481,0.018001674,-0.07378637,0.008567722,-0.06476636,-0.013746809,-0.032071356,0.007768492,0.015422198,-0.019846577,-0.0400418,-0.046198126,0.09863623,-0.03343916,-0.030884212,-0.009883005,-0.051783483,0.078783125,-0.024265494,0.033188134,0.000117736,0.018803108,-0.018949544,0.070621185,-0.09430462,-0.017855553,-0.018257152,-0.0460153,0.0379086,0.020425439,0.06678467,-0.050174743,0.028566394,0.06510788,-0.034218617,0.065288745,-0.006202759,-0.021991245,0.011121516,0.029282734,0.016783021,-0.02946048,0.03078283,0.003897939,-0.034830973,0.013755102,0.032716874,0.026871312,-0.033492047,0.04422597,0.024844225,0.004526361,0.028802454,-0.017382635,0.007932592,-0.06049039,0.02366001,-0.015352877,-0.03490783,0.12021159,0.07202282,0.00823173,0.023022207,-0.060197666,0.023217639,0.059201036,0.08059728,-0.057802442,-0.020730758,0.042983234,-0.000320853,0.005781366,0.026257662,-0.000510436,-0.011504442,-0.008936053,0.036308095,-0.044238932,-0.022507122,0.007309246,-0.007218278,0.08895977,0.035325367,0.009761628,-0.058812506,0.03777964,-0.060133144,-0.000680773,-0.031147037,0.061762568,0.020606775,-0.027049135,0.03574219,-0.017845238,-0.045863926,0.033959344,-0.07006349,-0.02401182,-0.029422194,-0.053183146,0.011332369,0.01633296,-0.002854673,-0.03250866,-0.049870957,0.010729156,-0.009635089,-0.037015114,0.045395166,0.000110671,0.044719744,-0.011765064,0.07296609,-0.10985661,0.11485309,-0.000928912,0.021444533,-0.018122392,-0.0443634,0.048579976,-0.09202013,0.04725739,0.019254511,-0.008980912,0.012436925
3hpp_c,OCCC([O-])=O,0.034134023,0.035174586,-0.06034993,0.22365274,0.00991086,-0.0945076,0.01093771,-0.089518346,-0.019682698,-0.045678485,0.023784546,0.03480753,-0.03142507,-0.050425064,-0.073691666,0.13583846,-0.059262913,-0.040210012,-0.012204912,-0.056961816,0.10900556,-0.037612185,0.039222796,0.016852863,0.026543483,-0.030391594,0.101107344,-0.12663,-0.031511225,-0.025037767,-0.058286663,0.055156317,0.019452414,0.10069571,-0.06591734,0.026175931,0.09292262,-0.046297807,0.0955016,-0.000950611,-0.026983412,0.005237785,0.02552681,0.0315065,-0.04137328,0.039887186,-0.000973861,-0.0481707,0.03388288,0.029410904,0.032244653,-0.0498396,0.06432287,0.04036977,0.008454296,0.03642221,-0.023965448,0.00836372,-0.07658691,0.041719813,-0.009641662,-0.046364345,0.17020284,0.088188715,0.007567028,0.047322307,-0.081171304,0.034045573,0.07901208,0.11404347,-0.06246952,-0.0297247,0.07436234,-0.014445898,0.002537258,0.039272405,0.001850685,-0.027291548,-0.019288963,0.044928912,-0.04684163,-0.022597965,0.01799764,-0.00115468,0.12572597,0.03484614,0.011260244,-0.069275305,0.060872324,-0.07125978,0.01210749,-0.041211314,0.0713693,0.039173264,-0.026696552,0.041917272,-0.02893488,-0.05724931,0.052348588,-0.084859766,-0.03455064,-0.037775423,-0.07473129,0.014077294,0.040198218,-0.006371544,-0.057268742,-0.059396952,0.016978074,-0.006507149,-0.043366674,0.056649048,0.005315442,0.06587184,-0.021386968,0.10068285,-0.14891765,0.16448516,-0.001804372,0.021648228,-0.01567943,-0.054626208,0.06796136,-0.13009585,0.058306683,0.03652602,-0.003982374,0.007013649
hmbil_c,OCc1[nH]c(Cc2[nH]c(Cc3[nH]c(Cc4[nH]cc(CCC([O-])=O)c4CC([O-])=O)c(CCC([O-])=O)c3CC([O-])=O)c(CCC([O-])=O)c2CC([O-])=O)c(CCC([O-])=O)c1CC([O-])=O,0.037728425,0.0354299,-0.07224845,0.24931926,0.02043882,-0.10412821,0.009408578,-0.09749819,-0.006897759,-0.059946463,0.027695227,0.028746558,-0.028955048,-0.050197396,-0.077304326,0.15640113,-0.058322478,-0.049016006,-0.023803415,-0.075999,0.12070992,-0.03588331,0.04615078,0.003510062,0.039121535,-0.036588833,0.11058538,-0.13174385,-0.026659127,-0.028752124,-0.07173671,0.045386672,0.02201819,0.1043686,-0.07658083,0.035502277,0.09138494,-0.055886935,0.104845285,0.003636286,-0.0373955,0.010471659,0.03529703,0.031965744,-0.053794205,0.044642795,0.000317348,-0.06335484,0.030720493,0.04074217,0.026727729,-0.0408758,0.079569384,0.04787064,0.011895183,0.030921703,-0.030387782,-0.000900501,-0.088108525,0.03980428,-0.024582883,-0.04440207,0.19043893,0.10337195,0.004792469,0.03542693,-0.09070134,0.034022257,0.08032418,0.12856227,-0.08132807,-0.03357856,0.07672684,-0.000929101,0.002604852,0.05054639,-0.005106905,-0.020415222,-0.027208576,0.05407965,-0.050278127,-0.031062476,0.014381927,-0.014651253,0.12963039,0.045311425,0.002315466,-0.07746926,0.05930224,-0.085672945,0.007291407,-0.04000283,0.08457447,0.041617773,-0.030784085,0.04145024,-0.036200803,-0.056354463,0.059555996,-0.097121485,-0.023808084,-0.033823207,-0.086796835,0.019180309,0.034216437,-0.001725014,-0.056967415,-0.07258497,0.00622245,-0.008754727,-0.054391306,0.068539485,0.002501196,0.06519646,-0.02936708,0.11969088,-0.14386885,0.19116344,0.002339384,0.024734996,-0.023585679,-0.06173109,0.07578974,-0.12410311,0.06805937,0.03349541,-0.005094563,0.003044075
tag6p__D_c,OCC1(O)O[C@H](COP([O-])([O-])=O)[C@H](O)[C@@H]1O,0.052549005,0.062423468,-0.093542404,0.36033297,0.016807988,-0.14629702,0.014647828,-0.13645087,-0.011167318,-0.06635774,0.024877036,0.050155874,-0.052043736,-0.082346976,-0.11540912,0.21890005,-0.08772434,-0.07572604,-0.020288618,-0.09433421,0.18185116,-0.05669636,0.058679562,0.01718167,0.04237561,-0.042648114,0.14753096,-0.19350925,-0.0364793,-0.051039528,-0.11069539,0.08173184,0.037294988,0.15287,-0.113040276,0.050839808,0.14266793,-0.0727641,0.14833538,0.001448155,-0.04914992,0.017064555,0.04963188,0.04471363,-0.07542517,0.06502009,0.004948023,-0.08940723,0.05000601,0.057652146,0.034997746,-0.06188589,0.10700405,0.06128218,0.013207322,0.040905114,-0.029556097,-0.001059677,-0.12511264,0.06337325,-0.031689007,-0.06911202,0.26957116,0.14687753,0.022237169,0.056750257,-0.1168536,0.06780172,0.11038913,0.17438717,-0.104370184,-0.048047572,0.11223273,-0.008039492,0.012182025,0.066088125,-0.013124542,-0.029730927,-0.03711025,0.074272566,-0.08590473,-0.03226611,0.033773247,-0.007154302,0.19796732,0.057564333,0.014960431,-0.10986205,0.09092957,-0.12290832,0.008591305,-0.06477885,0.11883577,0.05133276,-0.047212414,0.062784,-0.048089955,-0.0940165,0.07954654,-0.14135548,-0.05178127,-0.055023316,-0.1119449,0.04052113,0.052089084,-0.004954329,-0.07038498,-0.094315045,0.014520515,-0.01706567,-0.07261427,0.09364874,-0.002278118,0.093883,-0.035169013,0.15942065,-0.23099613,0.26431122,-0.004151649,0.0426828,-0.02162065,-0.09514978,0.120771,-0.20173135,0.0893799,0.045912415,0.001595102,0.007181318
fruur_c,OCC1(O)O[C@@H]([C@@H](O)[C@@H]1O)C([O-])=O,0.039300814,0.058521252,-0.09933639,0.3630105,0.017854627,-0.14393288,0.017079491,-0.12831333,-0.014878956,-0.076672204,0.03205816,0.048950803,-0.054279946,-0.08362921,-0.10871176,0.2233787,-0.09398656,-0.06620357,-0.020609751,-0.10715695,0.18224844,-0.047782768,0.052747373,0.024236638,0.042677473,-0.038902033,0.14766227,-0.20485172,-0.045370918,-0.03864084,-0.10546445,0.079185724,0.03926405,0.15913303,-0.11342704,0.043353587,0.14741258,-0.08131819,0.13897443,0.002760956,-0.043616112,0.010984642,0.04546339,0.03654097,-0.07315998,0.067175046,-0.010511441,-0.07873881,0.040085595,0.05753595,0.049191926,-0.06998913,0.11385151,0.06025084,0.006035504,0.05474686,-0.027410388,0.010138804,-0.12668101,0.06763021,-0.028882014,-0.06278159,0.2603007,0.15000582,0.011909155,0.059615497,-0.11889559,0.07062781,0.11878415,0.1893932,-0.114646554,-0.047305748,0.10908636,-0.007556266,0.019594448,0.08013861,-0.00075924,-0.033118814,-0.03255019,0.073848635,-0.08403166,-0.040989522,0.02615853,-0.0113895,0.20331153,0.056986623,0.008305333,-0.113671266,0.095854744,-0.118146084,0.015297754,-0.0585399,0.1214332,0.049862437,-0.04902208,0.06840972,-0.05493854,-0.0920643,0.08513638,-0.14381005,-0.048624363,-0.055671673,-0.10923536,0.028330438,0.058991667,0.002217969,-0.076249085,-0.10237685,0.015098065,-0.01022693,-0.07249584,0.09799029,-0.00609391,0.10106476,-0.037830457,0.16060704,-0.23364376,0.27410513,-0.01566831,0.042679396,-0.02424234,-0.09564036,0.11984625,-0.19640474,0.09571948,0.058105316,0.001504131,0.017180892
fruur_p,OCC1(O)O[C@@H]([C@@H](O)[C@@H]1O)C([O-])=O,0.04988641,0.06075228,-0.08702654,0.36317793,0.018687578,-0.15184465,0.017430246,-0.12697531,-0.013464018,-0.0670148,0.029306205,0.03943988,-0.05087612,-0.07935859,-0.11341133,0.21939059,-0.08742875,-0.07438153,-0.014020917,-0.10947688,0.1804297,-0.04908264,0.059864864,0.0246597,0.03607824,-0.046064153,0.1541142,-0.20216891,-0.044487756,-0.04935588,-0.10688468,0.07322813,0.039851204,0.15988049,-0.11276619,0.054599725,0.14277232,-0.06881647,0.15323998,-0.001431726,-0.051025905,0.019947454,0.045194875,0.041559987,-0.06268404,0.07588722,0.004142359,-0.08474349,0.046438135,0.05770887,0.04707884,-0.067574486,0.10933478,0.057421606,0.017984029,0.043565135,-0.025065223,0.004453785,-0.11962723,0.067110784,-0.027509898,-0.062096287,0.2716237,0.14829712,0.00763911,0.066914454,-0.1184163,0.06482264,0.109632865,0.18485273,-0.11785146,-0.0506912,0.11591457,-0.008522377,0.018523304,0.065277964,-0.006281805,-0.02520442,-0.039538268,0.077240944,-0.078355454,-0.03948828,0.023858326,-0.009445886,0.1967374,0.064840764,0.005179742,-0.12238115,0.08170481,-0.12156412,0.005939099,-0.059682872,0.12800846,0.059081614,-0.04886774,0.06744288,-0.05480986,-0.08443511,0.08050985,-0.13784112,-0.04790869,-0.057629947,-0.10689788,0.03554925,0.061757166,-0.002267898,-0.07912532,-0.10086046,0.024855604,-0.012890518,-0.08131012,0.10198229,-0.008649329,0.10294751,-0.038185973,0.16219789,-0.23012535,0.26723823,-0.007526118,0.037456725,-0.021538693,-0.088550285,0.12607495,-0.20016812,0.08748847,0.059912372,-0.010342778,0.011105676
g3pg_c,OCC(O)COP([O-])(=O)OCC(O)CO,0.03581776,0.0401009,-0.059807062,0.21583453,0.006705004,-0.09131238,0.014221304,-0.07487923,-0.00943642,-0.041719567,0.020649116,0.02969976,-0.036587216,-0.053577367,-0.0682889,0.14180118,-0.05541745,-0.042928644,-0.009694991,-0.0570442,0.10705571,-0.023164334,0.043635793,0.01646672,0.020749835,-0.027392795,0.089665234,-0.12435327,-0.020688763,-0.03384483,-0.067997314,0.048486818,0.022828003,0.09935008,-0.0697387,0.030499637,0.09000305,-0.052829746,0.09183273,-0.000949156,-0.029387154,0.015122757,0.024590103,0.02859898,-0.046688456,0.046235707,-0.008924869,-0.05292239,0.02036251,0.036493935,0.027503809,-0.037717722,0.0657012,0.035766326,0.014540541,0.032538883,-0.018656243,-0.007469459,-0.079382084,0.041317858,-0.01894144,-0.041384794,0.1636229,0.08332577,0.016425777,0.03448492,-0.07551353,0.037318353,0.073361896,0.11385553,-0.0721727,-0.025226424,0.06937022,-0.005610698,0.015011238,0.04597837,0.001638873,-0.013844186,-0.017279448,0.05403755,-0.04585101,-0.025727615,0.016843444,-0.000503349,0.12298399,0.045619376,-0.0029123,-0.063649416,0.055045336,-0.0682398,0.004364671,-0.048523217,0.06594032,0.0335231,-0.03320704,0.032879658,-0.028444417,-0.060458682,0.050558664,-0.084280066,-0.035228297,-0.025595458,-0.07308666,0.019371586,0.03203848,0.004574707,-0.050914038,-0.06310791,0.006129441,-0.000242973,-0.05260079,0.06442434,-0.001581387,0.062139593,-0.027072506,0.090657555,-0.13504878,0.1634737,-0.005231299,0.018135514,-0.020098556,-0.057084158,0.065516695,-0.12125437,0.05347049,0.039970502,-0.009447889,0.002482702
g3pg_p,OCC(O)COP([O-])(=O)OCC(O)CO,0.03319969,0.043249648,-0.061676186,0.21865197,0.020906392,-0.09098255,0.014075147,-0.082580574,-0.004231457,-0.051085506,0.022039764,0.025318068,-0.033453625,-0.04934325,-0.07593015,0.14123823,-0.06371484,-0.041959982,-0.002709663,-0.05934311,0.10574832,-0.035921577,0.031926114,0.012721962,0.029781913,-0.022152597,0.09612209,-0.12086819,-0.025528375,-0.028153513,-0.07153379,0.0405415,0.015088383,0.087412536,-0.07196857,0.0350357,0.08566992,-0.04679528,0.08496133,-0.002060741,-0.032216817,0.0047189,0.034179486,0.024210026,-0.041315254,0.03894922,-0.009104783,-0.0515741,0.025007214,0.031443022,0.026304526,-0.045237217,0.06696694,0.034646276,0.006160084,0.025398511,-0.016855506,-0.006838377,-0.080626726,0.045936976,-0.022937581,-0.034754798,0.16910484,0.09504127,0.002979998,0.042347554,-0.07398558,0.038825,0.07212728,0.10911788,-0.061009523,-0.029862741,0.0743293,-0.001334586,0.003203542,0.03747431,-0.006513433,-0.01832397,-0.022141911,0.05548322,-0.054037306,-0.028167693,0.022202255,-0.010185212,0.11959504,0.04394559,-0.001178791,-0.070773475,0.055444255,-0.071676806,0.003160936,-0.041565392,0.08181238,0.04117382,-0.021699894,0.04333958,-0.03196369,-0.049810622,0.047677837,-0.092603825,-0.03087396,-0.034391806,-0.06916174,0.019174876,0.03208424,-0.004506118,-0.04898102,-0.062486775,0.0132247,-0.014327278,-0.05447572,0.05849291,0.002223426,0.06533105,-0.032451067,0.098559864,-0.13570668,0.16596448,0.001624897,0.022259757,-0.006966125,-0.053413566,0.068390176,-0.12511101,0.049425807,0.028060606,0.00141375,0.009773535
