meta)name,SMILES,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
urdglyc_c,[C@@H](O)(C([O-])=O)NC(N)=O,0.04952139,-0.042879358,-0.040000286,0.059259195,-0.042841062,-0.053926494,0.013435663,0.008637236,0.014151611,-0.03855446,0.005203685,0.028493384,-0.051766455,-0.051751003,-0.015546819,0.043023303,0.013622695,0.007942379,0.017216329,-0.02238896,0.003675706,-0.00699113,0.005253032,0.022479879,-0.019855542,-0.026166098,-0.009695259,-0.07296361,-0.0355773,-0.008412777,-0.05367548,0.022491131,0.007018652,0.037170373,-0.049957797,-0.010059935,-0.022042528,0.028117413,0.025308376,-0.026498822,-0.012552963,-0.001808105,-0.051307756,0.03319765,-0.021246253,-0.001881631,-0.009460785,0.001699698,0.025712702,-0.012237539,0.02957305,-0.00501205,0.03444069,-0.022698987,-0.019897413,0.013114463,0.042419713,-0.01789761,-0.037528537,0.050793327,-0.026127987,-0.025990708,0.06951186,0.041659687,0.028118748,0.07227325,0.000544383,0.005333723,0.046372868,0.05894078,-0.039209478,-0.03827216,0.03914185,0.036648605,0.023329841,-0.046536997,-0.002069034,0.008138834,0.02467412,0.08991846,-0.001320079,-0.04619924,-0.037096936,0.039502326,0.04005022,0.086371586,-0.014120827,0.012697353,0.008185866,-0.03281337,0.023413382,-0.072608046,0.021694032,0.015374708,0.040702116,0.018328767,0.006771119,0.026659235,0.03920468,-0.0096093,0.025730984,-0.001286806,0.022489583,-0.02738034,-0.011347431,-0.006603493,-0.002104307,0.013669718,0.006902623,0.03597898,-0.057631236,0.034413937,-0.021302467,0.01539473,-0.008613713,0.028565506,-0.0478313,0.043854352,-0.02912768,-0.031168574,-0.015736658,0.000590496,0.007210435,0.036520068,-0.021764705,0.060837224,-0.029585846,0.038080197
mi145p_n,O=P([O-])([O-])O[C@H]1[C@H](O)[C@@H](OP(=O)([O-])[O-])[C@H](OP(=O)([O-])[O-])[C@@H](O)[C@H]1O,0.08404267,-0.08703269,-0.09115698,0.12334812,-0.06334253,-0.09709576,0.031088995,0.009472387,0.030046005,-0.05887242,0.020340865,0.038538005,-0.091361865,-0.10836903,-0.04253863,0.073243,0.026562866,-0.001572328,0.04113019,-0.046664976,-0.004774107,-0.006984165,0.015447649,0.050784893,-0.044051666,-0.04983543,-0.03933769,-0.13741137,-0.05304056,-0.021102058,-0.09027932,0.04750989,0.02889641,0.08003222,-0.09107864,-0.021692583,-0.04194685,0.04620911,0.045821954,-0.039704487,-0.0150593,0.000792198,-0.084226094,0.06003909,-0.046601698,-0.002596221,-0.010036303,0.004542114,0.048740815,-0.016120393,0.039585385,-0.021085603,0.07398916,-0.05569004,-0.036699694,0.011447981,0.07236439,-0.021545732,-0.06612208,0.09841206,-0.045646466,-0.055929266,0.12786089,0.0723489,0.04979532,0.12648514,0.002728054,0.007123743,0.07682477,0.1029725,-0.064383745,-0.051868394,0.07446371,0.06357139,0.058310695,-0.09549438,0.004737189,0.02086481,0.04939455,0.18264163,0.019150583,-0.08045361,-0.05729653,0.07472878,0.080363564,0.15144311,-0.031911686,0.030131258,0.017539226,-0.06570267,0.034344845,-0.12689453,0.044326674,0.009645537,0.0804384,0.024460156,0.02387994,0.056540843,0.08377794,-0.020038998,0.059824422,0.00873616,0.03486716,-0.0712403,-0.028088935,-0.031979553,-0.010222772,0.043279573,0.029236998,0.08236115,-0.10830639,0.07018713,-0.03728788,0.03311403,-0.028099814,0.039090503,-0.08431711,0.078857645,-0.06340544,-0.046605937,-0.030996125,0.004208383,0.013058485,0.059297234,-0.04412556,0.10174791,-0.056392424,0.0616147
mi145p_c,O=P([O-])([O-])O[C@H]1[C@H](O)[C@@H](OP(=O)([O-])[O-])[C@H](OP(=O)([O-])[O-])[C@@H](O)[C@H]1O,0.09349185,-0.10191302,-0.1009429,0.14000265,-0.06627452,-0.10739813,0.036135975,0.004359011,0.03385461,-0.063216336,0.013841271,0.036836926,-0.09392989,-0.10819847,-0.039143343,0.0782987,0.03771573,0.001235885,0.04160633,-0.059026547,-0.002331227,-0.010915424,0.017386353,0.05157964,-0.041475333,-0.047747318,-0.031545326,-0.14422432,-0.060063858,-0.01689319,-0.09406754,0.06280588,0.029311921,0.08215179,-0.09461957,-0.011908051,-0.039511506,0.04847676,0.03996196,-0.052195348,-0.015410242,-0.00138378,-0.09083363,0.0671103,-0.052245818,-0.011340749,-0.005673763,0.009466256,0.045055084,-0.005057354,0.051578417,-0.026008993,0.06568222,-0.055932716,-0.048141945,0.020798625,0.07616107,-0.014359349,-0.078149654,0.09312728,-0.054933537,-0.065418854,0.13448696,0.08146373,0.05050377,0.13143328,0.004783653,-0.002964161,0.08475731,0.11575051,-0.074647784,-0.062330455,0.066154495,0.07451224,0.056764144,-0.10145533,0.005588164,0.02797363,0.06540095,0.1896527,0.007207178,-0.0948631,-0.07490707,0.082377814,0.08837794,0.17142867,-0.030287404,0.030599,0.011593599,-0.071467295,0.032849602,-0.143982,0.05068388,0.012385515,0.07350577,0.030992737,0.024889644,0.05024447,0.0799023,-0.020935833,0.05462546,0.004192645,0.035940256,-0.07373819,-0.04514279,-0.030399647,-0.014817146,0.03609071,0.025571415,0.07912043,-0.113115996,0.08061272,-0.038700577,0.039481055,-0.018824384,0.047342204,-0.100072995,0.068537585,-0.063245624,-0.04919481,-0.043943632,-0.008342728,0.006855469,0.055859916,-0.033942606,0.10759894,-0.07273837,0.074622095
mi1456p_n,[C@@H]1(O)([C@@H](OP([O-])([O-])=O)[C@H](OP([O-])(=O)[O-])[C@@H](OP([O-])(=O)[O-])[C@H](OP(=O)([O-])[O-])[C@@H](O)1),0.08794882,-0.10000939,-0.09175062,0.11922954,-0.07370542,-0.094797544,0.033886738,0.001756993,0.029392943,-0.060191277,0.023613777,0.04626002,-0.091229424,-0.096447945,-0.04457685,0.070621885,0.02621514,0.004035888,0.039795827,-0.04295369,-0.003835685,-0.01562404,0.012747373,0.061230786,-0.038829308,-0.04854339,-0.024512894,-0.13329896,-0.062259723,-0.014640132,-0.08197497,0.06276325,0.020479273,0.08323463,-0.085801736,-0.021632457,-0.034636155,0.047343135,0.0423432,-0.043665595,-0.011045528,-0.010695264,-0.09746734,0.07085953,-0.04887101,-0.015368751,-0.008488978,0.011183658,0.05422486,-0.017264524,0.047076773,-0.029320998,0.06306543,-0.048348702,-0.042896435,0.018743861,0.070587225,-0.013142704,-0.06908897,0.09432819,-0.041113805,-0.061165743,0.12951091,0.06644295,0.04303817,0.13589892,0.004614579,-0.00427224,0.08002173,0.10969527,-0.056203403,-0.059249938,0.073891,0.05834835,0.046720304,-0.096173584,0.008048889,0.016324209,0.05799752,0.17332657,0.019089205,-0.084063984,-0.065503284,0.08589664,0.08514197,0.15041047,-0.027876098,0.038949672,0.017620672,-0.057915192,0.042000733,-0.13377523,0.03619096,0.019807152,0.07753085,0.02461969,0.021930873,0.051591385,0.07987268,-0.010272873,0.050014775,0.004563314,0.031754047,-0.07268659,-0.029024398,-0.031820383,-0.024794718,0.041937985,0.027505426,0.07934515,-0.09875951,0.069761164,-0.03024068,0.041459426,-0.019266475,0.043677647,-0.09385553,0.06548899,-0.05829419,-0.05284218,-0.035164278,-0.001576094,0.004545787,0.04931029,-0.037400726,0.108791046,-0.062217783,0.062149886
mi1345p_n,[C@@H]1(O)([C@@H](OP([O-])(=O)[O-])[C@H](OP(=O)([O-])[O-])[C@@H](OP(=O)([O-])[O-])[C@@H](O)[C@@H](OP([O-])([O-])=O)1),0.098794535,-0.11275593,-0.10735026,0.14026393,-0.07519045,-0.10702132,0.03858784,0.004068842,0.046285957,-0.074007064,0.028190278,0.0409564,-0.09605314,-0.10713608,-0.045492575,0.08505047,0.03606956,0.000780075,0.03844083,-0.06184505,0.000346801,-0.010752695,0.016016614,0.056781758,-0.036019873,-0.057358295,-0.028818225,-0.14672326,-0.059993144,-0.01937191,-0.102777444,0.058180824,0.0254578,0.09043061,-0.09886948,-0.017126065,-0.046461705,0.048882425,0.049056582,-0.043281745,-0.022207186,-0.005513012,-0.10237431,0.07863788,-0.06214259,-0.015296557,-0.008180379,-9.75E-05,0.053629823,-0.011754327,0.043440633,-0.02459844,0.080484025,-0.050912164,-0.047478452,0.012504585,0.077188596,-0.027288105,-0.08406383,0.10325417,-0.05719889,-0.06333173,0.15044247,0.0850884,0.05085235,0.13874052,0.002258585,-0.00446554,0.08556482,0.1277796,-0.07428595,-0.06872658,0.079348914,0.07756709,0.0539773,-0.10323008,0.001942172,0.02837162,0.05669034,0.20249934,0.019596377,-0.100475274,-0.077828795,0.08264213,0.09375518,0.17572203,-0.043089163,0.04315404,0.013059932,-0.07653128,0.039195716,-0.14847372,0.04801787,0.020146525,0.08561634,0.021584243,0.021049434,0.06407865,0.09350505,-0.014723973,0.06777587,0.012268191,0.032797884,-0.07730866,-0.042321146,-0.033086788,-0.022238946,0.040228415,0.01953781,0.08818723,-0.119901545,0.08314219,-0.037995994,0.041199975,-0.02692394,0.05734504,-0.09238415,0.084953904,-0.063475914,-0.057193372,-0.044193372,-0.006603694,0.008628213,0.06994189,-0.036912832,0.11853809,-0.07262,0.0665297
fe2_m,[Fe++],0.07508441,-0.08093791,-0.076996215,0.104169354,-0.063930325,-0.07710512,0.027638225,0.00160597,0.03763786,-0.045802034,0.010916404,0.038207706,-0.07953341,-0.07974555,-0.03903572,0.062436115,0.02633917,-0.006419882,0.030844534,-0.035071317,0.003178295,-0.014041168,0.008058275,0.04666695,-0.030951614,-0.037341252,-0.0277931,-0.104968905,-0.043819387,-0.020961018,-0.0818448,0.05311448,0.021316843,0.06674094,-0.078500435,-0.012167809,-0.030024543,0.04010625,0.03527723,-0.033847414,-0.013307322,-0.003952003,-0.076593086,0.06034978,-0.048063796,-0.015248941,-0.001489972,0.001056122,0.044735134,-0.006852979,0.027713342,-0.012813885,0.055428736,-0.040133324,-0.036152888,0.003936379,0.064727135,-0.019248161,-0.062935695,0.0777261,-0.045067053,-0.049696904,0.11081616,0.058514148,0.044993933,0.100301586,0.011016396,0.004252413,0.05654035,0.08621927,-0.047145586,-0.05033133,0.05993841,0.058369394,0.04300246,-0.0797171,-0.005061933,0.021294668,0.04343847,0.14563663,0.008289455,-0.06786789,-0.049412638,0.07054197,0.07164408,0.12410338,-0.022531774,0.034726888,0.014064791,-0.056314602,0.028710943,-0.11091986,0.03286217,0.010828926,0.06071383,0.017283782,0.017966451,0.039021898,0.06598333,-0.014517918,0.041324273,0.006307923,0.029186683,-0.047065284,-0.03140505,-0.024452936,-0.006468673,0.03618258,0.0152361,0.060649026,-0.08143808,0.06018309,-0.029756635,0.027789561,-0.014837957,0.03764195,-0.0791359,0.05597304,-0.04788906,-0.038594503,-0.026333708,-0.010291196,0.012955733,0.04008277,-0.033362646,0.080703355,-0.04651482,0.04783077
fe2_e,[Fe++],0.050571483,-0.073212735,-0.07020197,0.086610585,-0.05476884,-0.060945585,0.025674496,0.010097097,0.029883767,-0.04681642,0.015335046,0.031074349,-0.0686553,-0.06661312,-0.02497804,0.054838926,0.016844232,0.004519652,0.02607338,-0.040338267,0.001331627,-0.003534376,8.79E-05,0.04640935,-0.026789835,-0.027152665,-0.024921572,-0.097340815,-0.04485505,-0.005528716,-0.063892424,0.042406417,0.019508267,0.061454546,-0.06567723,-0.018438132,-0.022100437,0.026650215,0.019454772,-0.026719822,-0.005208102,-0.009810056,-0.06911376,0.043917082,-0.03897682,-0.011811156,-0.014751543,0.011427947,0.028522719,-0.007143746,0.03603354,-0.017204002,0.052289587,-0.034743827,-0.037925493,0.015549069,0.05733192,-0.006493324,-0.05453193,0.07009586,-0.035877444,-0.035448942,0.08241215,0.051805418,0.029818993,0.086740606,0.009769285,0.006589871,0.053935457,0.08563725,-0.04774237,-0.04139383,0.046289008,0.050621703,0.04379347,-0.055199068,0.006810083,0.015139628,0.041589726,0.12098792,0.009514398,-0.06529269,-0.048929475,0.05666155,0.06431059,0.102795884,-0.024857447,0.02772018,0.016105631,-0.042594098,0.030863695,-0.08718886,0.029012507,0.006913782,0.04974077,0.019719744,0.010169618,0.035291247,0.060424022,-0.013166035,0.038039733,0.005291847,0.028338104,-0.051370755,-0.019960005,-0.014361603,-0.009292958,0.02484256,0.01270714,0.05776728,-0.0670365,0.05395943,-0.029262785,0.029487632,-0.014295673,0.03109694,-0.06815282,0.053280964,-0.05092738,-0.032508906,-0.024925057,-0.009057328,0.008398778,0.040324304,-0.02350133,0.0788164,-0.038598366,0.049062558
ggl_c,[H][C@@](O)(CO)CO[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,0.08319358,-0.09468121,-0.08015693,0.119853765,-0.07097941,-0.09348762,0.033968437,0.013147655,0.040158175,-0.05298091,0.017334813,0.031242391,-0.08838499,-0.08903111,-0.04120756,0.0698025,0.030234195,-0.004687723,0.04302274,-0.056061044,0.000700748,-0.007386565,0.01067224,0.06070692,-0.042583458,-0.046572626,-0.026825547,-0.128978,-0.05863666,-0.020846855,-0.08844435,0.050870616,0.026120404,0.08331289,-0.0876569,-0.01150806,-0.035651773,0.05109525,0.0441188,-0.04177198,-0.016405137,-0.001467177,-0.092337534,0.06495975,-0.041514594,-0.004804812,-0.003325731,0.00633577,0.047770943,-0.008731432,0.044773765,-0.021504601,0.06502896,-0.051043432,-0.03694545,0.007690305,0.078257374,-0.016935555,-0.06517307,0.092176475,-0.046449937,-0.049508672,0.12738417,0.06868724,0.03730421,0.12730815,0.011637391,0.001907517,0.06445418,0.109000556,-0.06776093,-0.060532726,0.07102076,0.06583313,0.055778496,-0.09277736,0.002688591,0.028557744,0.04823328,0.17049038,0.018081523,-0.08523918,-0.06765769,0.07860222,0.08025717,0.14965576,-0.036263414,0.027096367,0.005538789,-0.061334893,0.030243816,-0.12299281,0.046530038,0.019907044,0.068375625,0.023463579,0.014604501,0.055678274,0.07501182,-0.010225988,0.052230295,0.004709863,0.03989368,-0.060868464,-0.025966516,-0.026086155,-0.0167564,0.03575475,0.028327813,0.07524791,-0.10332257,0.076684244,-0.041389883,0.04052865,-0.020577278,0.044672906,-0.087746896,0.06543054,-0.05863642,-0.050157465,-0.031092739,-0.003020748,0.01840176,0.050473217,-0.04158889,0.10800359,-0.06650601,0.059376035
4mzym_c,[H][C@@]1(CC[C@@]2([H])C3=C(CC[C@]12C)[C@@]1(C)CC[C@H](O)[C@@H](C)[C@]1([H])CC3)[C@H](C)CCC=C(C)C,0.122975565,-0.13229716,-0.13027044,0.16910823,-0.10357849,-0.13370633,0.04988585,0.017792637,0.055060197,-0.08220128,0.026855899,0.05753028,-0.13532582,-0.14018877,-0.059186302,0.11181446,0.0392161,-0.000932547,0.05691025,-0.066636935,-0.00135736,-0.006364604,0.02298849,0.08489345,-0.0575346,-0.06538311,-0.045432117,-0.18902336,-0.0782887,-0.029603275,-0.13088384,0.08069277,0.033725336,0.11742631,-0.12703325,-0.022550331,-0.049974367,0.056422334,0.057095412,-0.06224953,-0.020767668,-0.001098705,-0.13516493,0.09555502,-0.07660531,-0.009986986,-0.021031233,0.007510595,0.061874386,-0.014627049,0.062112845,-0.02834403,0.09462958,-0.07325755,-0.05347296,0.021407234,0.105212286,-0.03626916,-0.10375681,0.13132323,-0.07090248,-0.08021225,0.18033749,0.09284939,0.070875555,0.17670545,0.010403608,0.001737027,0.106104754,0.15848824,-0.094016366,-0.080476515,0.09916776,0.09303093,0.080685966,-0.124223486,0.007913793,0.036763575,0.08131726,0.25629768,0.023499697,-0.12441115,-0.09168578,0.11817112,0.11919761,0.22398789,-0.055883616,0.05468263,0.021255631,-0.0823141,0.050932065,-0.19659166,0.050715096,0.0231851,0.101027206,0.02285463,0.028462773,0.067143455,0.10928238,-0.01642822,0.068958044,0.019786645,0.04595777,-0.09163988,-0.049786948,-0.03113856,-0.025499385,0.050838135,0.026324859,0.118203804,-0.1536671,0.11094008,-0.050933093,0.053768557,-0.035874,0.055855498,-0.1212179,0.098987125,-0.08633955,-0.0748829,-0.054083064,-0.009331676,0.007836432,0.07713997,-0.05666329,0.15685102,-0.09477535,0.08467489
fecost_e,[H][C@@]1(CC[C@@]2([H])C3=C(CC[C@]12C)[C@@]1(C)CC[C@H](O)C[C@]1([H])CC3)[C@H](C)CCC(=C)C(C)C,0.14489578,-0.15766281,-0.1570945,0.20454344,-0.1109724,-0.16107537,0.058835067,0.013847544,0.070950665,-0.10838089,0.03275522,0.06366161,-0.15989625,-0.16398142,-0.07880601,0.1312114,0.039569166,0.001140355,0.07651731,-0.08334704,-0.005056751,-0.020744603,0.013449825,0.09791365,-0.059216134,-0.07360889,-0.051492915,-0.22166242,-0.09886118,-0.029416656,-0.15990815,0.088358246,0.031313647,0.12709814,-0.15507895,-0.022859398,-0.06721856,0.075499736,0.059622906,-0.07612471,-0.027691029,-0.013354367,-0.15271479,0.110103734,-0.08462126,-0.021364035,-0.02420133,0.010955744,0.08009309,-0.022983674,0.07346325,-0.04225705,0.11411965,-0.091018945,-0.07611139,0.017253438,0.13002868,-0.04179094,-0.123409726,0.16251768,-0.088471346,-0.0887366,0.22017696,0.12400539,0.07066919,0.22057715,0.015075313,0.002853776,0.12509592,0.18417259,-0.10002424,-0.10209269,0.12414319,0.11678406,0.08444399,-0.15947212,0.001178981,0.039844424,0.09320572,0.30965877,0.019457364,-0.15067068,-0.105372235,0.13156977,0.13748084,0.2670069,-0.06530132,0.059134834,0.024933923,-0.10071342,0.06058225,-0.22881147,0.07684117,0.035211906,0.13414651,0.039247364,0.03105636,0.093436286,0.12803541,-0.027296482,0.08901604,0.014291611,0.06197926,-0.111419104,-0.06117343,-0.04812055,-0.028449504,0.063894965,0.03997103,0.12739968,-0.18644285,0.1260822,-0.058705837,0.06691728,-0.047973208,0.07488622,-0.14424068,0.11897365,-0.09804881,-0.086251825,-0.04969696,-0.005314704,0.012856226,0.09116165,-0.0725391,0.1750903,-0.101871006,0.10880469
