Mol,SMILES,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
10fthf_c,[H]C(=O)N(C[C@H]1CNc2[nH]c(N)nc(=O)c2N1)c1ccc(cc1)C(=O)N[C@@H](CCC([O-])=O)C([O-])=O,0.06505691,-0.005263828,-0.12843789,0.07733533,0.016710596,-0.12633558,-0.04455631,-0.114116624,0.001872629,-0.10828893,-0.10349314,0.05999348,-0.13039342,0.039903134,-0.011631336,0.10264703,-0.08272036,0.002398176,-0.091594495,0.042101514,0.019905379,0.0693022,0.027778327,0.007401797,0.028641863,0.012557156,0.08593687,-0.12509108,-0.037120417,0.009367853,-0.029060956,-0.03471588,-0.011581497,0.014487437,-0.018934358,-0.024063498,-0.000598132,-0.004597042,0.008256942,0.019914173,-0.1375806,-0.08519985,-0.003158648,0.011918633,-0.025904028,-0.015262756,-0.001761064,0.050468743,-0.012192794,-0.05522223,0.0712731,-0.09682315,0.123753704,-0.09134623,-0.01948143,0.06537432,-0.018933509,-0.046654314,-0.086433455,0.05523494,-0.024980353,0.06932062,0.14916359,0.08538591,0.062123343,-0.018562367,-0.042731356,-0.034698315,0.16042759,0.076835304,-0.027961783,-0.030817494,0.08919442,-0.009329608,0.03962428,-0.07761123,-0.057755053,-0.01751706,-0.05727112,0.067671694,-0.07817796,-0.09066638,-0.03260669,0.02581193,0.0523089,0.015741382,-0.008769521,-0.034767866,0.15789029,-0.04829302,0.11249994,-0.078373194,-0.049746018,0.064435,0.08006528,0.04177092,0.09292478,-0.1006274,0.007088334,-0.1408569,0.032366864,0.013830791,0.11197692,-0.019361665,0.029443998,0.007113637,-0.006507976,0.05055289,0.030784762,-0.026831089,-0.06715276,0.059835576,0.000435886,-0.000946761,-0.05462666,0.08813665,-0.11235451,-0.000923658,0.022836335,0.009201678,0.02172394,0.033271093,0.036450732,-0.042586494,-0.004259357,0.09610975,0.083563305,-0.038995784
10fthf_m,[H]C(=O)N(C[C@H]1CNc2[nH]c(N)nc(=O)c2N1)c1ccc(cc1)C(=O)N[C@@H](CCC([O-])=O)C([O-])=O,0.060535252,-0.005715403,-0.13652414,0.08241989,0.027852088,-0.12534401,-0.04190904,-0.11744843,4.75E-05,-0.1009636,-0.097966716,0.051556345,-0.12759183,0.031630922,-0.018911108,0.09848932,-0.084225304,-0.007418069,-0.087559596,0.041627467,0.009918727,0.0738773,0.03366473,0.009884275,0.022383502,0.010193541,0.07128553,-0.12710021,-0.028346669,0.005601415,-0.024136975,-0.036259428,-0.000582075,0.021092558,-0.018435568,-0.027453331,-0.001424691,-0.007967788,0.011420297,0.027560787,-0.13397975,-0.07971443,0.007663491,0.007796782,-0.026024949,-0.011466335,0.002256058,0.050929867,-0.013548206,-0.05363481,0.06200995,-0.1026414,0.13205367,-0.10034608,-0.01656168,0.057645697,-0.024705809,-0.041685697,-0.08336116,0.060730908,-0.021767095,0.066277236,0.14792536,0.08158826,0.06411031,-0.025289536,-0.045397997,-0.035277627,0.1572403,0.06965546,-0.023929117,-0.016266473,0.09220458,-0.013968543,0.04925041,-0.08452441,-0.051305838,-0.015975716,-0.058913983,0.07640126,-0.06295609,-0.08581744,-0.021510122,0.024326142,0.05352639,0.007552954,-0.010440795,-0.034032088,0.16155459,-0.052908465,0.106151745,-0.06981725,-0.046333954,0.05238818,0.08489401,0.037435062,0.10330162,-0.095510975,0.013721072,-0.14642337,0.041493736,0.020380137,0.108521245,-0.03273198,0.029939853,-0.004634318,-0.006284767,0.062976904,0.042940713,-0.016208306,-0.069450766,0.06056016,0.001454634,0.00010422,-0.06323278,0.07883036,-0.10696771,-0.000984776,0.017982803,0.016097747,0.022470158,0.03795011,0.036086153,-0.045248438,-0.008819708,0.08837842,0.08459328,-0.045720723
12d3k5m_c,CSCCC(=O)/C(O)=C/O,0.058052193,-0.014662637,-0.12748437,0.08321568,0.028459331,-0.115740016,-0.033854514,-0.11191859,0.002073213,-0.08969501,-0.094131306,0.042010963,-0.11200746,0.034769736,-0.013807677,0.08678593,-0.06682724,-0.006132391,-0.08069807,0.026330803,0.010770503,0.062557444,0.03155938,0.006102912,0.02510188,0.014319027,0.075001195,-0.11177751,-0.027041517,0.009220489,-0.018260011,-0.02066193,-0.001591821,0.0148918,-0.014322073,-0.012444685,0.002914626,-0.008767697,0.002230901,0.016591934,-0.11945648,-0.073358886,0.005446975,0.008827797,-0.025649965,-0.018764144,0.006828545,0.050639044,-0.018308146,-0.03761291,0.06357938,-0.09548581,0.10791559,-0.08961639,-0.02210504,0.057692472,-0.024139974,-0.027783712,-0.082000755,0.042999532,-0.024089856,0.05328399,0.13052063,0.078974284,0.054558624,-0.025903396,-0.038830314,-0.04130099,0.14369184,0.066134855,-0.02475693,-0.021149155,0.070006154,-0.006122936,0.03897018,-0.07620026,-0.046013925,-0.007700922,-0.04027018,0.06342525,-0.068776086,-0.085803576,-0.034199204,0.02379154,0.04938509,0.017254712,-0.004987244,-0.031802446,0.13804194,-0.04958019,0.09161944,-0.06895043,-0.035961293,0.048260953,0.0647898,0.038643595,0.09022351,-0.09344329,0.006828473,-0.13073644,0.028030274,0.014462672,0.09453685,-0.027938424,0.010522141,-0.002112072,-0.011169079,0.045845274,0.03260012,-0.022888437,-0.05923619,0.060142823,0.001955186,0.004722627,-0.04597021,0.07366522,-0.105193555,-0.015948046,0.019249862,0.015671216,0.010380266,0.022790814,0.024664134,-0.04811074,0.004618095,0.0778015,0.065135114,-0.031789605
12dgr120_c,CCCCCCCCCCCC(=O)OCC(CO)OC(=O)CCCCCCCCCCC,0.052606136,-0.023302361,-0.106627904,0.061480407,0.013645915,-0.09597787,-0.026610313,-0.100316994,-0.000283047,-0.077406056,-0.07121718,0.04769165,-0.09969512,0.036990084,-0.020561958,0.07285704,-0.07060966,-0.004823546,-0.069581434,0.031999078,0.003637737,0.04876416,0.023071537,0.018692417,0.019873539,0.008441741,0.06776313,-0.09379953,-0.03019569,0.009127781,-0.008115858,-0.012563728,-0.009223603,0.019306447,-0.010105992,-0.018127017,0.00486719,-0.00820859,0.006992752,0.018577734,-0.10109494,-0.07472474,-0.009043157,0.014630681,-0.020866197,-0.020516032,0.000657882,0.048224065,-0.002481392,-0.048164494,0.053111646,-0.086243875,0.09447074,-0.07606998,-0.018263591,0.046218894,-0.023179406,-0.022552026,-0.06691949,0.042973652,-0.010016266,0.046736505,0.11536551,0.06057336,0.04457437,-0.008520721,-0.031124378,-0.03828695,0.12404393,0.060497466,-0.006290686,-0.018676527,0.0707763,-0.017192926,0.028767012,-0.068891846,-0.035606984,-0.014139047,-0.03900367,0.047498643,-0.04747864,-0.07099261,-0.02493064,0.028228706,0.040223457,0.005387988,-0.003275945,-0.016714897,0.12800843,-0.03126709,0.088422835,-0.055752985,-0.039640687,0.050055515,0.0639351,0.030152813,0.0773681,-0.0729346,0.010792523,-0.10125465,0.021144193,0.015334119,0.080197,-0.027536754,0.019830678,-0.006708562,-0.020834219,0.047346976,0.030711541,-0.014072293,-0.044178806,0.046768747,0.006065363,0.011047401,-0.040439796,0.061709903,-0.08754358,-0.017555606,0.01940892,0.008847069,0.017464537,0.022450475,0.016365228,-0.04380823,-0.001031613,0.076966345,0.06399687,-0.034493193
12dgr120_p,CCCCCCCCCCCC(=O)OCC(CO)OC(=O)CCCCCCCCCCC,0.048056528,-0.021575488,-0.09985389,0.05915569,0.01880408,-0.086642295,-0.0231916,-0.089562334,0.011099093,-0.075910814,-0.06163631,0.033588804,-0.082443975,0.035900228,-0.014426455,0.07027853,-0.058406577,-0.007340624,-0.06894587,0.01625589,0.006987886,0.048975863,0.022309104,0.005140451,0.025574563,0.004633335,0.060853366,-0.080593765,-0.018920176,0.005155571,-0.016290348,-0.022193424,-0.007022915,0.014366101,-0.010675789,-0.009831163,-0.002725288,-0.01188052,0.008884476,0.023270855,-0.09999273,-0.061481155,-0.001118302,0.012854314,-0.024523132,-0.017928055,0.002765848,0.031504195,-0.00788713,-0.03666851,0.039449792,-0.070056126,0.093484126,-0.06496248,-0.015663689,0.03368557,-0.023797072,-0.030868346,-0.066254966,0.035745114,-0.017487738,0.04693235,0.10901283,0.06364776,0.04088674,-0.02023095,-0.03189776,-0.035213776,0.107924186,0.0575006,-0.015916618,-0.017992204,0.060970113,-0.005857846,0.025916927,-0.0569035,-0.037839204,-0.003643691,-0.04366956,0.04968851,-0.043275915,-0.06946927,-0.027780559,0.012685526,0.03480878,0.010125545,-0.012950903,-0.014517834,0.108907595,-0.037901368,0.07209084,-0.046808425,-0.030601524,0.043438654,0.056322753,0.021354746,0.06627153,-0.05995866,0.013832236,-0.093486905,0.029234277,0.01995543,0.06780079,-0.021482952,0.009418619,-0.004601066,-0.01566048,0.035592362,0.01786404,-0.014493476,-0.045762148,0.045077916,0.002501256,0.005043912,-0.040490128,0.062996715,-0.06629565,-0.005271609,0.020677881,0.009553389,0.011393555,0.015493615,0.01701459,-0.026423207,0.004384732,0.065724775,0.05506838,-0.03550661
12dgr140_c,CCCCCCCCCCCCCC(=O)OCC(CO)OC(=O)CCCCCCCCCCCCC,0.05138102,-0.022996666,-0.09517272,0.061597932,0.011384976,-0.084751606,-0.023988271,-0.09195034,0.014892399,-0.065395676,-0.07449808,0.042778037,-0.092905656,0.03340981,-0.020976631,0.06951183,-0.061991367,-0.016568627,-0.0672236,0.027322195,0.006842649,0.043019008,0.01811535,0.010613359,0.016985476,0.010053921,0.05182134,-0.07922891,-0.01873107,-0.001319327,-0.020473072,-0.009237012,-0.002720823,0.014019591,-0.017146531,-0.007267155,0.001838159,-0.008238103,0.008079004,0.018823106,-0.09811207,-0.06427462,-0.004132013,0.012559312,-0.025759334,-0.02044197,0.00617954,0.036871467,-0.000312769,-0.036623854,0.035397083,-0.06562826,0.09001459,-0.071273364,-0.018109964,0.027076472,-0.016297221,-0.02936688,-0.06566491,0.03625297,-0.018392099,0.044713307,0.10696747,0.060517065,0.049565874,-0.019054849,-0.021542955,-0.027219417,0.10293837,0.051545765,-0.006910634,-0.017014606,0.06230152,-0.00693161,0.030146629,-0.06347079,-0.04337244,-0.00291632,-0.04212738,0.042572655,-0.050207637,-0.06392677,-0.017741593,0.021745851,0.033989497,0.004575273,-0.001684887,-0.012435507,0.11699142,-0.034970097,0.07173871,-0.049105417,-0.029904135,0.039899655,0.054375615,0.025445877,0.069786325,-0.06813045,0.00785778,-0.096311525,0.020522578,0.01825497,0.07559205,-0.011178705,0.008888206,-0.005606276,-0.004632569,0.0442147,0.018849492,-0.018352289,-0.03996131,0.04382351,-0.000412048,0.005186977,-0.034500413,0.05549493,-0.07614355,-0.018343402,0.0204641,0.016305406,0.020098815,0.010445179,0.022151923,-0.03922979,-0.002367216,0.062618345,0.06604768,-0.03610112
12dgr140_p,CCCCCCCCCCCCCC(=O)OCC(CO)OC(=O)CCCCCCCCCCCCC,0.03799203,-0.023863895,-0.107349694,0.06301396,0.012106132,-0.08592861,-0.024719533,-0.0869056,0.010916755,-0.07917096,-0.0717532,0.043722034,-0.100223586,0.034934923,-0.012824521,0.075952835,-0.06850738,-0.004249024,-0.06932606,0.018713504,0.008774061,0.05541242,0.013038213,0.019029642,0.01917492,0.015547672,0.055816527,-0.09428848,-0.027888663,0.012653185,-0.015123444,-0.015234792,-0.00178376,0.019784896,-0.015785484,-0.01833991,0.005061444,-0.014984221,-0.003310827,0.02188434,-0.09649612,-0.072952494,-0.007849314,0.005342215,-0.025642416,-0.019376183,-0.007794731,0.048646726,-0.012751601,-0.039687414,0.052300893,-0.07784576,0.100715905,-0.07521068,-0.025160557,0.0452188,-0.013978404,-0.021164695,-0.070025824,0.04387134,-0.01703571,0.054040782,0.101452634,0.06478152,0.042025615,-0.018678524,-0.023145543,-0.02560142,0.11548087,0.066230334,-0.016782168,-0.017522551,0.061920278,-0.005519746,0.03967292,-0.052505836,-0.034067817,-0.007710309,-0.03786226,0.04561966,-0.05094656,-0.07502438,-0.02763028,0.020202491,0.042550433,0.003313205,-0.009168968,-0.016921295,0.12541623,-0.032813624,0.084259085,-0.046430003,-0.032765403,0.039617084,0.05598542,0.031260625,0.06802489,-0.07152341,0.013709938,-0.10394187,0.02574313,0.017413829,0.08407232,-0.02592522,0.017388789,0.002777573,-0.010420148,0.039529715,0.020751115,-0.012353822,-0.041678198,0.050450187,-0.003645801,0.010490091,-0.040835805,0.05943073,-0.084672496,-0.008297623,0.008346071,0.014709928,0.016584268,0.013984352,0.02303472,-0.034911163,0.001771909,0.07588425,0.06806748,-0.027909545
12dgr141_c,CCCCCCC=CCCCCCC(=O)OCC(CO)OC(=O)CCCCCC=CCCCCCC,0.050831035,-0.021480061,-0.09675952,0.06562863,0.013735432,-0.096519835,-0.024902623,-0.08715987,0.012274766,-0.07168602,-0.07534117,0.03444541,-0.09809821,0.038813196,-0.017383464,0.073884994,-0.06324364,-0.013333199,-0.06408789,0.017069047,0.00737205,0.05506894,0.0205532,0.01888392,0.013211325,0.008635541,0.06352112,-0.09341733,-0.027544582,0.00084612,-0.017389761,-0.021148968,-0.001126497,0.021268291,-0.015962925,-0.007327065,0.001564923,-0.003377629,0.010092888,0.017802624,-0.106790885,-0.06532187,-0.00776513,0.011321471,-0.016234828,-0.010943539,0.00602328,0.043594893,-0.005903302,-0.038698956,0.05120383,-0.07774041,0.09819083,-0.07972062,-0.013173897,0.03516706,-0.012896674,-0.027358001,-0.06460451,0.043893408,-0.016206259,0.055501334,0.11701671,0.06492322,0.039133843,-0.012139699,-0.025035055,-0.032118954,0.109842315,0.063093424,-0.020490808,-0.021379828,0.070061065,-0.007060275,0.038204074,-0.06806151,-0.040752843,-0.000387336,-0.04595675,0.050976742,-0.046354398,-0.074601606,-0.029519264,0.022087967,0.037702635,0.011530065,-0.012631407,-0.02574062,0.11504049,-0.03707252,0.07665559,-0.049740236,-0.027031336,0.049629133,0.0573241,0.030714681,0.069696106,-0.0658927,0.008763999,-0.10102261,0.026856804,0.015836954,0.08775491,-0.018769274,0.021064285,-0.002803474,-0.013622792,0.041641176,0.031648915,-0.015195923,-0.051823445,0.055166326,-0.005872056,0.012403352,-0.041132014,0.0626285,-0.08314311,-0.014801981,0.017660506,0.009390018,0.020371227,0.021305216,0.02984658,-0.039390597,-0.00530742,0.07943078,0.05780643,-0.034757573
12dgr141_p,CCCCCCC=CCCCCCC(=O)OCC(CO)OC(=O)CCCCCC=CCCCCCC,0.053846102,-0.018879833,-0.10592896,0.061139453,0.011188192,-0.09439174,-0.023050252,-0.08752042,0.009599967,-0.07422638,-0.073019065,0.04308305,-0.103779785,0.03175102,-0.016749803,0.08261128,-0.06794451,-0.010052239,-0.06795099,0.028527336,0.00494876,0.060387444,0.028073562,0.017842583,0.013849332,0.010042354,0.05709418,-0.09410906,-0.021759138,-0.000627255,-0.019326035,-0.015660107,-0.003532844,0.020049497,-0.016345965,-0.011519426,0.003845017,-0.017542006,0.007023276,0.017319027,-0.10389179,-0.0642791,-0.009062381,0.012804178,-0.02737695,-0.01154658,-0.007711317,0.04233828,-0.014134303,-0.03920903,0.049031746,-0.07328249,0.09769306,-0.078771986,-0.011521786,0.04274966,-0.018652536,-0.036844455,-0.0707327,0.04176048,-0.018448764,0.050313264,0.11302833,0.0585736,0.052302454,-0.018637994,-0.02834877,-0.03362713,0.11907054,0.064586736,-0.018596526,-0.014700888,0.066640034,-0.008704851,0.040185332,-0.059650462,-0.035176087,-0.001827687,-0.037472505,0.056418493,-0.04658003,-0.075253524,-0.025453992,0.02664498,0.039233074,0.016989224,-0.015776208,-0.0137509,0.12400058,-0.02889756,0.07934187,-0.062455054,-0.040263724,0.045294683,0.055482656,0.022657799,0.07587462,-0.075767525,0.009185893,-0.10177986,0.020373808,0.026887568,0.07731184,-0.02086012,0.012738638,0.003216224,-0.015600101,0.040898085,0.019550906,-0.008630027,-0.054157235,0.055170584,-0.00099229,0.00953342,-0.045242738,0.053939104,-0.07596327,-0.013995145,0.016401252,0.006763083,0.012909435,0.0162736,0.01606248,-0.03854952,-0.003249582,0.081096426,0.057940807,-0.038842782
12dgr160_c,CCCCCCCCCCCCCCCC(=O)OC[C@H](CO)OC(=O)CCCCCCCCCCCCCCC,0.04752528,-0.013622514,-0.09869122,0.054062665,0.02423382,-0.0852128,-0.020856395,-0.08646229,0.014502953,-0.07690497,-0.06633688,0.03496932,-0.0930829,0.0344553,-0.0221025,0.07409426,-0.06959116,-0.007068208,-0.05574041,0.025426995,0.001179395,0.044192463,0.014129019,0.012886095,0.021551592,0.014685274,0.05755989,-0.0812969,-0.02358481,0.005134589,-0.020416372,-0.023128906,-0.01146512,0.005748098,-0.016857564,-0.006980574,-0.002164507,-0.009603592,-0.001415623,0.015390979,-0.09819946,-0.068847835,0.000441672,0.007371374,-0.019092742,-0.019141115,-0.007234839,0.04037355,-0.009285604,-0.04186362,0.043785892,-0.07406954,0.08975393,-0.07447783,-0.018427378,0.032134954,-0.014730576,-0.034294926,-0.0657946,0.04311408,-0.021211479,0.05399851,0.10713585,0.06317263,0.03495172,-0.01042772,-0.024611294,-0.03011407,0.10738765,0.05248885,-0.005244217,-0.016867513,0.06602311,-0.003286376,0.025640132,-0.06391281,-0.040933594,-0.005433055,-0.038736034,0.053515166,-0.049826574,-0.07141328,-0.018242998,0.016020166,0.03095964,0.013709374,-0.014177446,-0.01799745,0.11366362,-0.029007535,0.07187798,-0.050752442,-0.023659213,0.04843834,0.062810786,0.030121677,0.06685309,-0.059714507,0.005876567,-0.10077554,0.023046799,0.016975626,0.07617234,-0.01974283,0.011299983,-0.00512813,-0.011844383,0.039343815,0.024796415,-0.021098813,-0.05103925,0.044367462,0.003504817,0.011773915,-0.047183085,0.05619643,-0.06836469,-0.013271574,0.021635162,0.008985505,0.024541616,0.020131182,0.015836304,-0.03780685,-0.008448459,0.061752908,0.063893355,-0.0292281
