,BSU,K,Enzyme,EC Numbers,EC_Number_firstdigit,reac_id,reac_name,reac_meta_name,reac_meta_value,compound,smiles,Gibbs,kcat,km
0,BSU00090,K00088,IMP dehydrogenase ,1.1.1.205,1,IMPD,IMP dehydrogenase,h2o_c,-1.0,C00001,[H]O[H],-36.144756,,additional information
1,BSU00090,K00088,IMP dehydrogenase ,1.1.1.205,1,IMPD,IMP dehydrogenase,h_c,1.0,C00080,[H+],0.42906138,,additional information
2,BSU00090,K00088,IMP dehydrogenase ,1.1.1.205,1,IMPD,IMP dehydrogenase,imp_c,-1.0,C00130,O[C@@H]1[C@@H](COP([O-])([O-])=O)O[C@H]([C@@H]1O)n1cnc2c1nc[nH]c2=O,-244.30493,,additional information
3,BSU00090,K00088,IMP dehydrogenase ,1.1.1.205,1,IMPD,IMP dehydrogenase,nad_c,-1.0,C00003,NC(=O)c1ccc[n+](c1)[C@@H]1O[C@H](COP([O-])(=O)OP([O-])(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)n2cnc3c(N)ncnc23)[C@@H](O)[C@H]1O,-338.38196,,additional information
4,BSU00090,K00088,IMP dehydrogenase ,1.1.1.205,1,IMPD,IMP dehydrogenase,nadh_c,1.0,C00004,NC(=O)C1=CN(C=CC1)[C@@H]1O[C@H](COP([O-])(=O)OP([O-])(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)n2cnc3c(N)ncnc23)[C@@H](O)[C@H]1O,-325.20697,,additional information
5,BSU00090,K00088,IMP dehydrogenase ,1.1.1.205,1,IMPD,IMP dehydrogenase,xmp_c,1.0,C00655,O[C@@H]1[C@@H](COP([O-])([O-])=O)O[C@H]([C@@H]1O)n1cnc2c1[nH]c(=O)[nH]c2=O,-291.6249,,additional information
8,BSU00140,K15519,deoxyadenosine/deoxycytidine kinase ,2.7.1.76 2.7.1.74,2,ADADir,Deoxycytidine kinase,adp_c,1.0,C00008,Nc1ncnc2n(cnc12)[C@@H]1O[C@H](COP([O-])(=O)OP([O-])([O-])=O)[C@@H](O)[C@H]1O,-344.92508,,
9,BSU00140,K15519,deoxyadenosine/deoxycytidine kinase ,2.7.1.76 2.7.1.74,2,ADADir,Deoxycytidine kinase,atp_c,-1.0,C00002,Nc1ncnc2n(cnc12)[C@@H]1O[C@H](COP([O-])(=O)OP([O-])(=O)OP([O-])([O-])=O)[C@@H](O)[C@H]1O,-553.6995,,
10,BSU00140,K15519,deoxyadenosine/deoxycytidine kinase ,2.7.1.76 2.7.1.74,2,ADADir,Deoxycytidine kinase,dcmp_c,1.0,C00239,Nc1ccn([C@H]2C[C@H](O)[C@@H](COP([O-])([O-])=O)O2)c(=O)n1,-206.3048,,
11,BSU00140,K15519,deoxyadenosine/deoxycytidine kinase ,2.7.1.76 2.7.1.74,2,ADADir,Deoxycytidine kinase,dcyt_c,-1.0,C00881,Nc1ccn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)n1,17.714563,,
12,BSU00140,K15519,deoxyadenosine/deoxycytidine kinase ,2.7.1.76 2.7.1.74,2,ADADir,Deoxycytidine kinase,h_c,1.0,C00080,[H+],0.42906138,,
13,BSU00140,K15519,deoxyadenosine/deoxycytidine kinase ,2.7.1.76 2.7.1.74,2,ADNK1,Adenosine kinase,adn_c,-1.0,C00212,Nc1ncnc2n(cnc12)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,87.03457,,
14,BSU00140,K15519,deoxyadenosine/deoxycytidine kinase ,2.7.1.76 2.7.1.74,2,ADNK1,Adenosine kinase,adp_c,1.0,C00008,Nc1ncnc2n(cnc12)[C@@H]1O[C@H](COP([O-])(=O)OP([O-])([O-])=O)[C@@H](O)[C@H]1O,-344.92508,,
15,BSU00140,K15519,deoxyadenosine/deoxycytidine kinase ,2.7.1.76 2.7.1.74,2,ADNK1,Adenosine kinase,amp_c,1.0,C00020,Nc1ncnc2n(cnc12)[C@@H]1O[C@H](COP([O-])([O-])=O)[C@@H](O)[C@H]1O,-135.89479,,
16,BSU00140,K15519,deoxyadenosine/deoxycytidine kinase ,2.7.1.76 2.7.1.74,2,ADNK1,Adenosine kinase,atp_c,-1.0,C00002,Nc1ncnc2n(cnc12)[C@@H]1O[C@H](COP([O-])(=O)OP([O-])(=O)OP([O-])([O-])=O)[C@@H](O)[C@H]1O,-553.6995,,
17,BSU00140,K15519,deoxyadenosine/deoxycytidine kinase ,2.7.1.76 2.7.1.74,2,ADNK1,Adenosine kinase,h_c,1.0,C00080,[H+],0.42906138,,
18,BSU00140,K15519,deoxyadenosine/deoxycytidine kinase ,2.7.1.76 2.7.1.74,2,DADNK,Deoxyadenosine kinase,adp_c,1.0,C00008,Nc1ncnc2n(cnc12)[C@@H]1O[C@H](COP([O-])(=O)OP([O-])([O-])=O)[C@@H](O)[C@H]1O,-344.92508,,
19,BSU00140,K15519,deoxyadenosine/deoxycytidine kinase ,2.7.1.76 2.7.1.74,2,DADNK,Deoxyadenosine kinase,atp_c,-1.0,C00002,Nc1ncnc2n(cnc12)[C@@H]1O[C@H](COP([O-])(=O)OP([O-])(=O)OP([O-])([O-])=O)[C@@H](O)[C@H]1O,-553.6995,,
20,BSU00140,K15519,deoxyadenosine/deoxycytidine kinase ,2.7.1.76 2.7.1.74,2,DADNK,Deoxyadenosine kinase,dad_2_c,-1.0,C00559,Nc1ncnc2n(cnc12)[C@H]1C[C@H](O)[C@@H](CO)O1,82.75557,,
21,BSU00140,K15519,deoxyadenosine/deoxycytidine kinase ,2.7.1.76 2.7.1.74,2,DADNK,Deoxyadenosine kinase,damp_c,1.0,C00360,Nc1ncnc2n(cnc12)[C@H]1C[C@H](O)[C@@H](COP([O-])([O-])=O)O1,-141.26382,,
22,BSU00140,K15519,deoxyadenosine/deoxycytidine kinase ,2.7.1.76 2.7.1.74,2,DADNK,Deoxyadenosine kinase,h_c,1.0,C00080,[H+],0.42906138,,
23,BSU00150,K15518,deoxyguanosine kinase ,2.7.1.113,2,DGNSK,Deoxyguanosine kinase,adp_c,1.0,C00008,Nc1ncnc2n(cnc12)[C@@H]1O[C@H](COP([O-])(=O)OP([O-])([O-])=O)[C@@H](O)[C@H]1O,-344.92508,1.41,0.0006
24,BSU00150,K15518,deoxyguanosine kinase ,2.7.1.113,2,DGNSK,Deoxyguanosine kinase,atp_c,-1.0,C00002,Nc1ncnc2n(cnc12)[C@@H]1O[C@H](COP([O-])(=O)OP([O-])(=O)OP([O-])([O-])=O)[C@@H](O)[C@H]1O,-553.6995,1.41,0.0006
25,BSU00150,K15518,deoxyguanosine kinase ,2.7.1.113,2,DGNSK,Deoxyguanosine kinase,dgmp_c,1.0,C00362,Nc1nc2n(cnc2c(=O)[nH]1)[C@H]1C[C@H](O)[C@@H](COP([O-])([O-])=O)O1,-190.1338,1.41,0.0006
26,BSU00150,K15518,deoxyguanosine kinase ,2.7.1.113,2,DGNSK,Deoxyguanosine kinase,dgsn_c,-1.0,C00330,Nc1nc2n(cnc2c(=O)[nH]1)[C@H]1C[C@H](O)[C@@H](CO)O1,33.885563,1.41,0.0006
27,BSU00150,K15518,deoxyguanosine kinase ,2.7.1.113,2,DGNSK,Deoxyguanosine kinase,h_c,1.0,C00080,[H+],0.42906138,1.41,0.0006
28,BSU00150,K15518,deoxyguanosine kinase ,2.7.1.113,2,DINSK,Deoxyinosine kinase,adp_c,1.0,C00008,Nc1ncnc2n(cnc12)[C@@H]1O[C@H](COP([O-])(=O)OP([O-])([O-])=O)[C@@H](O)[C@H]1O,-344.92508,1.41,0.0006
29,BSU00150,K15518,deoxyguanosine kinase ,2.7.1.113,2,DINSK,Deoxyinosine kinase,atp_c,-1.0,C00002,Nc1ncnc2n(cnc12)[C@@H]1O[C@H](COP([O-])(=O)OP([O-])(=O)OP([O-])([O-])=O)[C@@H](O)[C@H]1O,-553.6995,1.41,0.0006
30,BSU00150,K15518,deoxyguanosine kinase ,2.7.1.113,2,DINSK,Deoxyinosine kinase,dimp_c,1.0,C06196,O[C@H]1C[C@@H](O[C@@H]1COP([O-])([O-])=O)n1cnc2c1nc[nH]c2=O,-204.46494,1.41,0.0006
31,BSU00150,K15518,deoxyguanosine kinase ,2.7.1.113,2,DINSK,Deoxyinosine kinase,din_c,-1.0,C05512,OC[C@H]1O[C@H](C[C@@H]1O)n1cnc2c1nc[nH]c2=O,28.94445,1.41,0.0006
32,BSU00180,K11991,tRNA(adenine34) deaminase ,3.5.4.33,3,MCSNAH,5-Methylcytosine aminohydrolase,5mcsn_c,-1.0,C02376,Cc1c[nH]c(=O)nc1N,38.817844,,
33,BSU00180,K11991,tRNA(adenine34) deaminase ,3.5.4.33,3,MCSNAH,5-Methylcytosine aminohydrolase,h2o_c,-1.0,C00001,[H]O[H],-36.144756,,
34,BSU00180,K11991,tRNA(adenine34) deaminase ,3.5.4.33,3,MCSNAH,5-Methylcytosine aminohydrolase,h_c,-1.0,C00080,[H+],0.42906138,,
35,BSU00180,K11991,tRNA(adenine34) deaminase ,3.5.4.33,3,MCSNAH,5-Methylcytosine aminohydrolase,nh4_c,1.0,C00014,[H][N+]([H])([H])[H],11.853362,,
36,BSU00180,K11991,tRNA(adenine34) deaminase ,3.5.4.33,3,MCSNAH,5-Methylcytosine aminohydrolase,thym_c,1.0,C00178,Cc1c[nH]c(=O)[nH]c1=O,-10.083278,,
37,BSU00270,,,,,LYSDC,Lysine decarboxylase,15dap_c,1.0,C01672,[NH3+]CCCCC[NH3+],158.68971,,
38,BSU00270,,,,,LYSDC,Lysine decarboxylase,co2_c,1.0,C00011,O=C=O,-92.26,,
39,BSU00270,,,,,LYSDC,Lysine decarboxylase,h_c,-1.0,C00080,[H+],0.42906138,,
40,BSU00270,,,,,LYSDC,Lysine decarboxylase,lys__L_c,-1.0,C00047,[NH3+]CCCC[C@H]([NH3+])C([O-])=O,69.714745,,
41,BSU00280,K00943,dTMP kinase ,2.7.4.9,2,DTMPK,DTMP kinase,adp_c,1.0,C00008,Nc1ncnc2n(cnc12)[C@@H]1O[C@H](COP([O-])(=O)OP([O-])([O-])=O)[C@@H](O)[C@H]1O,-344.92508,,
42,BSU00280,K00943,dTMP kinase ,2.7.4.9,2,DTMPK,DTMP kinase,atp_c,-1.0,C00002,Nc1ncnc2n(cnc12)[C@@H]1O[C@H](COP([O-])(=O)OP([O-])(=O)OP([O-])([O-])=O)[C@@H](O)[C@H]1O,-553.6995,,
43,BSU00280,K00943,dTMP kinase ,2.7.4.9,2,DTMPK,DTMP kinase,dtdp_c,1.0,C00363,Cc1cn([C@H]2C[C@H](O)[C@@H](COP([O-])(=O)OP([O-])([O-])=O)O2)c(=O)[nH]c1=O,-445.85397,,
44,BSU00280,K00943,dTMP kinase ,2.7.4.9,2,DTMPK,DTMP kinase,dtmp_c,-1.0,C00364,Cc1cn([C@H]2C[C@H](O)[C@@H](COP([O-])([O-])=O)O2)c(=O)[nH]c1=O,-236.29369,,
45,BSU00280,K00943,dTMP kinase ,2.7.4.9,2,URIDK2r_copy2,Uridylate kinase (dUMP),adp_c,1.0,C00008,Nc1ncnc2n(cnc12)[C@@H]1O[C@H](COP([O-])(=O)OP([O-])([O-])=O)[C@@H](O)[C@H]1O,-344.92508,,
46,BSU00280,K00943,dTMP kinase ,2.7.4.9,2,URIDK2r_copy2,Uridylate kinase (dUMP),atp_c,-1.0,C00002,Nc1ncnc2n(cnc12)[C@@H]1O[C@H](COP([O-])(=O)OP([O-])(=O)OP([O-])([O-])=O)[C@@H](O)[C@H]1O,-553.6995,,
47,BSU00280,K00943,dTMP kinase ,2.7.4.9,2,URIDK2r_copy2,Uridylate kinase (dUMP),dudp_c,1.0,C01346,O[C@H]1C[C@@H](O[C@@H]1COP([O-])(=O)OP([O-])([O-])=O)n1ccc(=O)[nH]c1=O,-464.76624,,
48,BSU00280,K00943,dTMP kinase ,2.7.4.9,2,URIDK2r_copy2,Uridylate kinase (dUMP),dump_c,-1.0,C00365,O[C@H]1C[C@@H](O[C@@H]1COP([O-])([O-])=O)n1ccc(=O)[nH]c1=O,-255.20592,,
49,BSU00380,K01874,methionyl-tRNA synthetase ,6.1.1.10,6,METTRS,Methionyl-tRNA synthetase,amp_c,1.0,C00020,Nc1ncnc2n(cnc12)[C@@H]1O[C@H](COP([O-])([O-])=O)[C@@H](O)[C@H]1O,-135.89479,,
50,BSU00380,K01874,methionyl-tRNA synthetase ,6.1.1.10,6,METTRS,Methionyl-tRNA synthetase,atp_c,-1.0,C00002,Nc1ncnc2n(cnc12)[C@@H]1O[C@H](COP([O-])(=O)OP([O-])(=O)OP([O-])([O-])=O)[C@@H](O)[C@H]1O,-553.6995,,
51,BSU00380,K01874,methionyl-tRNA synthetase ,6.1.1.10,6,METTRS,Methionyl-tRNA synthetase,met__L_c,-1.0,C01733,CSCC[C@H]([NH3+])C([O-])=O,37.072315,,
52,BSU00380,K01874,methionyl-tRNA synthetase ,6.1.1.10,6,METTRS,Methionyl-tRNA synthetase,mettrna_c,1.0,C02430,CSCC[C@H](N)C(=O)O[C@@H]1[C@H](O)[C@@H](COP(=O)(O)O[C@@H]2[C@@H](COP(=O)(O)O[C@@H]3[C@@H](CO)O[C@@H]([*])[C@@H]3O)O[C@@H]([*])[C@@H]2O)O[C@H]1n1cnc2c(N)ncnc21,NA,,
53,BSU00380,K01874,methionyl-tRNA synthetase ,6.1.1.10,6,METTRS,Methionyl-tRNA synthetase,ppi_c,1.0,C00013,OP([O-])(=O)OP([O-])([O-])=O,-473.4674,,
54,BSU00380,K01874,methionyl-tRNA synthetase ,6.1.1.10,6,METTRS,Methionyl-tRNA synthetase,trnamet_c,-1.0,C01647,[*]OP(=O)([O-])OC[C@H]1O[C@@H](n2ccc(N)nc2=O)[C@H](O)[C@@H]1OP(=O)([O-])OC[C@H]1O[C@@H](n2ccc(N)nc2=O)[C@H](O)[C@@H]1OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,NA,,
55,BSU00460,K00919,4-diphosphocytidyl-2-C-methyl-D-erythritol kinase ,2.7.1.148,2,CDPMEK,4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase,2p4c2me_c,1.0,C11436,C[C@@](CO)(OP([O-])([O-])=O)[C@H](O)COP([O-])(=O)OP([O-])(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1ccc(N)nc1=O,-680.3883,,
56,BSU00460,K00919,4-diphosphocytidyl-2-C-methyl-D-erythritol kinase ,2.7.1.148,2,CDPMEK,4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase,4c2me_c,-1.0,C11435,C[C@](O)(CO)[C@H](O)COP([O-])(=O)OP([O-])(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1ccc(N)nc1=O,-453.87247,,
57,BSU00460,K00919,4-diphosphocytidyl-2-C-methyl-D-erythritol kinase ,2.7.1.148,2,CDPMEK,4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase,adp_c,1.0,C00008,Nc1ncnc2n(cnc12)[C@@H]1O[C@H](COP([O-])(=O)OP([O-])([O-])=O)[C@@H](O)[C@H]1O,-344.92508,,
58,BSU00460,K00919,4-diphosphocytidyl-2-C-methyl-D-erythritol kinase ,2.7.1.148,2,CDPMEK,4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase,atp_c,-1.0,C00002,Nc1ncnc2n(cnc12)[C@@H]1O[C@H](COP([O-])(=O)OP([O-])(=O)OP([O-])([O-])=O)[C@@H](O)[C@H]1O,-553.6995,,
59,BSU00460,K00919,4-diphosphocytidyl-2-C-methyl-D-erythritol kinase ,2.7.1.148,2,CDPMEK,4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase,h_c,1.0,C00080,[H+],0.42906138,,
60,BSU00500,K04042,bifunctional UDP-N-acetylglucosamine pyrophosphorylase / glucosamine-1-phosphate N-acetyltransferase ,2.7.7.23 2.3.1.157,2,G1PACT,Glucosamine-1-phosphate N-acetyltransferase,accoa_c,-1.0,C00024,CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP([O-])(=O)OP([O-])(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP([O-])([O-])=O)n1cnc2c(N)ncnc12,-506.8639,,
61,BSU00500,K04042,bifunctional UDP-N-acetylglucosamine pyrophosphorylase / glucosamine-1-phosphate N-acetyltransferase ,2.7.7.23 2.3.1.157,2,G1PACT,Glucosamine-1-phosphate N-acetyltransferase,acgam1p_c,1.0,C04256,CC(=O)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)OC1OP([O-])([O-])=O,-282.58258,,
62,BSU00500,K04042,bifunctional UDP-N-acetylglucosamine pyrophosphorylase / glucosamine-1-phosphate N-acetyltransferase ,2.7.7.23 2.3.1.157,2,G1PACT,Glucosamine-1-phosphate N-acetyltransferase,coa_c,1.0,C00010,CC(C)(COP([O-])(=O)OP([O-])(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP([O-])([O-])=O)n1cnc2c(N)ncnc12)[C@@H](O)C(=O)NCCC(=O)NCCS,-493.56613,,
63,BSU00500,K04042,bifunctional UDP-N-acetylglucosamine pyrophosphorylase / glucosamine-1-phosphate N-acetyltransferase ,2.7.7.23 2.3.1.157,2,G1PACT,Glucosamine-1-phosphate N-acetyltransferase,gam1p_c,-1.0,C06156,[NH3+][C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)O[C@@H]1OP([O-])([O-])=O,-262.3175,,
64,BSU00500,K04042,bifunctional UDP-N-acetylglucosamine pyrophosphorylase / glucosamine-1-phosphate N-acetyltransferase ,2.7.7.23 2.3.1.157,2,G1PACT,Glucosamine-1-phosphate N-acetyltransferase,h_c,1.0,C00080,[H+],0.42906138,,
65,BSU00500,K04042,bifunctional UDP-N-acetylglucosamine pyrophosphorylase / glucosamine-1-phosphate N-acetyltransferase ,2.7.7.23 2.3.1.157,2,UAGDP,UDP-N-acetylglucosamine diphosphorylase,acgam1p_c,-1.0,C04256,CC(=O)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)OC1OP([O-])([O-])=O,-282.58258,,
66,BSU00500,K04042,bifunctional UDP-N-acetylglucosamine pyrophosphorylase / glucosamine-1-phosphate N-acetyltransferase ,2.7.7.23 2.3.1.157,2,UAGDP,UDP-N-acetylglucosamine diphosphorylase,h_c,-1.0,C00080,[H+],0.42906138,,
67,BSU00500,K04042,bifunctional UDP-N-acetylglucosamine pyrophosphorylase / glucosamine-1-phosphate N-acetyltransferase ,2.7.7.23 2.3.1.157,2,UAGDP,UDP-N-acetylglucosamine diphosphorylase,ppi_c,1.0,C00013,OP([O-])(=O)OP([O-])([O-])=O,-473.4674,,
68,BSU00500,K04042,bifunctional UDP-N-acetylglucosamine pyrophosphorylase / glucosamine-1-phosphate N-acetyltransferase ,2.7.7.23 2.3.1.157,2,UAGDP,UDP-N-acetylglucosamine diphosphorylase,uacgam_c,1.0,C00043,CC(=O)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)O[C@@H]1OP([O-])(=O)OP([O-])(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1ccc(=O)[nH]c1=O,-530.3802,,
69,BSU00500,K04042,bifunctional UDP-N-acetylglucosamine pyrophosphorylase / glucosamine-1-phosphate N-acetyltransferase ,2.7.7.23 2.3.1.157,2,UAGDP,UDP-N-acetylglucosamine diphosphorylase,utp_c,-1.0,C00075,O[C@H]1[C@@H](O)[C@@H](O[C@@H]1COP([O-])(=O)OP([O-])(=O)OP([O-])([O-])=O)n1ccc(=O)[nH]c1=O,-618.39075,,
70,BSU00510,K00948,ribose-phosphate pyrophosphokinase ,2.7.6.1,2,PRPPS,Phosphoribosylpyrophosphate synthetase,amp_c,1.0,C00020,Nc1ncnc2n(cnc12)[C@@H]1O[C@H](COP([O-])([O-])=O)[C@@H](O)[C@H]1O,-135.89479,,0.191
71,BSU00510,K00948,ribose-phosphate pyrophosphokinase ,2.7.6.1,2,PRPPS,Phosphoribosylpyrophosphate synthetase,atp_c,-1.0,C00002,Nc1ncnc2n(cnc12)[C@@H]1O[C@H](COP([O-])(=O)OP([O-])(=O)OP([O-])([O-])=O)[C@@H](O)[C@H]1O,-553.6995,,0.191
72,BSU00510,K00948,ribose-phosphate pyrophosphokinase ,2.7.6.1,2,PRPPS,Phosphoribosylpyrophosphate synthetase,h_c,1.0,C00080,[H+],0.42906138,,0.191
73,BSU00510,K00948,ribose-phosphate pyrophosphokinase ,2.7.6.1,2,PRPPS,Phosphoribosylpyrophosphate synthetase,prpp_c,1.0,C00119,O[C@H]1[C@@H](O)[C@@H](OP([O-])(=O)OP([O-])([O-])=O)O[C@@H]1COP([O-])([O-])=O,-740.25256,,0.191
74,BSU00510,K00948,ribose-phosphate pyrophosphokinase ,2.7.6.1,2,PRPPS,Phosphoribosylpyrophosphate synthetase,r5p_c,-1.0,C03736,O[C@H]1O[C@H](COP([O-])([O-])=O)[C@@H](O)[C@H]1O,-302.92813,,0.191
75,BSU00680,K00760,hypoxanthine phosphoribosyltransferase ,2.4.2.8,2,HXPRT,Hypoxanthine phosphoribosyltransferase (Hypoxanthine),hxan_c,-1.0,C00262,O=c1[nH]cnc2nc[nH]c12,62.48449,,
76,BSU00680,K00760,hypoxanthine phosphoribosyltransferase ,2.4.2.8,2,HXPRT,Hypoxanthine phosphoribosyltransferase (Hypoxanthine),imp_c,1.0,C00130,O[C@@H]1[C@@H](COP([O-])([O-])=O)O[C@H]([C@@H]1O)n1cnc2c1nc[nH]c2=O,-244.30493,,
77,BSU00680,K00760,hypoxanthine phosphoribosyltransferase ,2.4.2.8,2,HXPRT,Hypoxanthine phosphoribosyltransferase (Hypoxanthine),ppi_c,1.0,C00013,OP([O-])(=O)OP([O-])([O-])=O,-473.4674,,
78,BSU00680,K00760,hypoxanthine phosphoribosyltransferase ,2.4.2.8,2,HXPRT,Hypoxanthine phosphoribosyltransferase (Hypoxanthine),prpp_c,-1.0,C00119,O[C@H]1[C@@H](O)[C@@H](OP([O-])(=O)OP([O-])([O-])=O)O[C@@H]1COP([O-])([O-])=O,-740.25256,,
79,BSU00680,K00760,hypoxanthine phosphoribosyltransferase ,2.4.2.8,2,GUAPRT,Guanine phosphoribosyltransferase,gmp_c,1.0,C00144,Nc1nc2n(cnc2c(=O)[nH]1)[C@@H]1O[C@H](COP([O-])([O-])=O)[C@@H](O)[C@H]1O,-229.97382,,
80,BSU00680,K00760,hypoxanthine phosphoribosyltransferase ,2.4.2.8,2,GUAPRT,Guanine phosphoribosyltransferase,gua_c,-1.0,C00242,Nc1nc2[nH]cnc2c(=O)[nH]1,36.0766,,
81,BSU00680,K00760,hypoxanthine phosphoribosyltransferase ,2.4.2.8,2,GUAPRT,Guanine phosphoribosyltransferase,ppi_c,1.0,C00013,OP([O-])(=O)OP([O-])([O-])=O,-473.4674,,
82,BSU00680,K00760,hypoxanthine phosphoribosyltransferase ,2.4.2.8,2,GUAPRT,Guanine phosphoribosyltransferase,prpp_c,-1.0,C00119,O[C@H]1[C@@H](O)[C@@H](OP([O-])(=O)OP([O-])([O-])=O)O[C@@H]1COP([O-])([O-])=O,-740.25256,,
83,BSU00730,K01738,cysteine synthase ,2.5.1.47,2,AHSERL3,Cysteine synthase  Selenide ,ac_c,1.0,C00033,CC([O-])=O,-57.768696,,
84,BSU00730,K01738,cysteine synthase ,2.5.1.47,2,AHSERL3,Cysteine synthase  Selenide ,acser_c,-1.0,C00979,CC(=O)OC[C@H]([NH3+])C([O-])=O,-69.15991,,
85,BSU00730,K01738,cysteine synthase ,2.5.1.47,2,AHSERL3,Cysteine synthase  Selenide ,scys__L_c,1.0,C05824,[NH3+][C@@H](CSS([O-])(=O)=O)C([O-])=O,-114.04534,,
86,BSU00730,K01738,cysteine synthase ,2.5.1.47,2,AHSERL3,Cysteine synthase  Selenide ,seln_c,-1.0,C01528,[Se-][H],20.542242,,
87,BSU00730,K01738,cysteine synthase ,2.5.1.47,2,AHSERL4,Cysteine synthase  Thiosulfate ,ac_c,1.0,C00033,CC([O-])=O,-57.768696,,
88,BSU00730,K01738,cysteine synthase ,2.5.1.47,2,AHSERL4,Cysteine synthase  Thiosulfate ,acser_c,-1.0,C00979,CC(=O)OC[C@H]([NH3+])C([O-])=O,-69.15991,,
89,BSU00730,K01738,cysteine synthase ,2.5.1.47,2,AHSERL4,Cysteine synthase  Thiosulfate ,cys__L_c,1.0,C00736,[NH3+][C@@H](CS)C([O-])=O,-9.312156,,
90,BSU00730,K01738,cysteine synthase ,2.5.1.47,2,AHSERL4,Cysteine synthase  Thiosulfate ,h_c,1.0,C00080,[H+],0.42906138,,
91,BSU00730,K01738,cysteine synthase ,2.5.1.47,2,AHSERL4,Cysteine synthase  Thiosulfate ,so3_c,1.0,C00094,[O-]S([O-])=O,-95.25777,,
92,BSU00730,K01738,cysteine synthase ,2.5.1.47,2,AHSERL4,Cysteine synthase  Thiosulfate ,trdox_c,1.0,C00343,[*]N[C@@H](CSSC[C@H]([NH2+][*])C([*])=O)C([*])=O,NA,,
93,BSU00730,K01738,cysteine synthase ,2.5.1.47,2,AHSERL4,Cysteine synthase  Thiosulfate ,trdrd_c,-1.0,C00342,[*]C(=O)C(CS)NC(=O)C([*])CS,NA,,
94,BSU00730,K01738,cysteine synthase ,2.5.1.47,2,AHSERL4,Cysteine synthase  Thiosulfate ,tsul_c,-1.0,C05529,[H]SS([O-])(=O)=O,-112.74094,,
95,BSU00730,K01738,cysteine synthase ,2.5.1.47,2,CYSS_2,Cysteine synthase,ac_c,1.0,C00033,CC([O-])=O,-57.768696,,
