meta_id,Gibbs_0,Std_Gibbs_0,Vec_0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
udcpp_c,962.60144,4.861611722,0.048865546,-0.061648365,-0.102032535,0.10793715,-0.058664124,-0.035158098,-0.003718136,0.011721164,0.020953966,-0.054332826,0.023066906,0.06903324,-0.09005593,-0.028264098,-0.07307879,0.03405684,-0.047779005,-0.010342774,0.061093044,0.06050942,0.08983118,0.07336022,0.018096108,-0.03759369,-0.07941127,0.03990167,-0.046851996,-0.06715597,-0.07128683,-0.091201685,0.040159363,-0.018423421,0.007177075,0.018729305,0.02595949,-0.043391395,-0.00128841,-0.041204475,0.0815026,-0.06605682,0.04382004,-0.08169891,-0.017115572,0.049753346,-0.055402845,-0.035559352,-0.01188715,0.05440489,0.035868265,-0.03127612,0.00099698,-0.035902485,-0.048935734,-0.11155607,-0.06272446,0.082532324,-0.02119292,-0.021222364,-0.00423837,0.06818612,0.03286725,-0.018235827,0.027469983,0.094082184,0.061807532,0.044733927,0.03742413,0.029913306,0.07355652,0.113721885,-0.11394022,-0.04134643,0.003021478,-0.02325725,0.011113413,-0.11909857,0.003395667,0.09567624,-0.0094001,0.085948095,0.006414623,-0.022835366,-0.034419257,0.051561248,-0.003784474,0.060702056,-0.01050104,0.017610755,0.07566638,-0.052243847,-0.044394385,-0.021327192,0.029131442,0.003977946,0.062547155,0.016430236,0.019299146,-0.07214485,0.047247317,-0.01568693,0.043658573,0.003633415,0.009985072,-0.023415787,0.04854454,0.002648878,-0.032914508,-0.10794001,0.07463763,0.041969314,0.001805794,0.004267574,-0.14515148,0.08078555,0.016799806,0.022804232,-0.1013429,0.104879364,0.010449478,-0.009979244,-0.008569733,-0.010946401,0.08762048,-0.03589456,-0.04084501,0.0970568,0.017044732,-0.001179134
mql7_c,830.075,4.261601063,0.05107601,-0.062318172,-0.107261054,0.12638448,-0.056553725,-0.039481983,-0.011925348,0.006476496,0.034499105,-0.058298506,0.01255338,0.06046315,-0.08737378,-0.032459017,-0.07222712,0.034830544,-0.053760055,-0.013746834,0.05768299,0.06250185,0.0800352,0.0825629,0.030512163,-0.042015735,-0.07389327,0.053315103,-0.056284476,-0.06551994,-0.07599798,-0.09751588,0.031457283,-0.015320968,0.013678017,0.018232591,0.027851816,-0.04653159,0.007120577,-0.04509216,0.09013991,-0.060972583,0.050657224,-0.07812331,-0.015136051,0.06604031,-0.058359314,-0.029461814,-0.014015684,0.045199767,0.035712972,-0.04575525,0.010842705,-0.050552726,-0.037241016,-0.12220978,-0.05950146,0.08994318,-0.016787352,-0.013735194,-0.01035658,0.07577923,0.04245289,-0.017985424,0.033516616,0.094058916,0.060925532,0.04473789,0.044956785,0.02039577,0.07296936,0.10299669,-0.12155167,-0.04724024,0.008074512,-0.013013477,0.022050727,-0.12534174,0.000726864,0.08797355,-0.002513961,0.08621821,0.010439313,-0.011970381,-0.040907927,0.0552674,-0.012425333,0.056054756,-0.019835321,0.021911917,0.07848412,-0.051241886,-0.055695906,-0.013724122,0.023722865,0.004243856,0.06445046,0.020961866,0.024342136,-0.08343515,0.06192645,-0.017025374,0.03590487,0.004850826,0.002218795,-0.025624104,0.054094747,0.016098715,-0.03332057,-0.113774374,0.08756844,0.044797506,0.002590586,0.009905405,-0.14255479,0.07880597,0.002159194,0.023046674,-0.10608417,0.109973475,-0.000653093,-0.014980441,-0.012622952,-0.00312867,0.08575011,-0.043235123,-0.05347286,0.092822924,0.022405058,-0.003494838
mqn7_c,815.33276,4.194855882,0.056053348,-0.053472467,-0.1033283,0.112728305,-0.06351199,-0.02548378,-0.011271743,-0.000443817,0.027499646,-0.058296278,0.02146348,0.06724834,-0.09451358,-0.033173062,-0.06573641,0.020863006,-0.057833724,-0.02112824,0.054452084,0.058441296,0.09066543,0.08323352,0.029591918,-0.03379339,-0.0799645,0.046164177,-0.050739035,-0.06706969,-0.075677074,-0.089191675,0.0369859,-0.023155378,0.009203926,0.008741554,0.036686797,-0.035780456,0.004369644,-0.04801676,0.08188809,-0.0679323,0.04736539,-0.07814862,-0.029423142,0.050665032,-0.051462106,-0.033045396,-0.006452675,0.04352566,0.027291615,-0.041007657,0.003773063,-0.04836678,-0.04989859,-0.11839883,-0.063213356,0.085444,-0.019686159,-0.015790088,-0.012947531,0.06268952,0.045092396,-0.018744789,0.022862745,0.08463687,0.059237935,0.04355338,0.039495446,0.023818133,0.07147029,0.107247,-0.11599143,-0.03582842,0.008831319,-0.024633665,0.018655393,-0.12945516,0.005017288,0.09709043,-0.012937836,0.07492646,0.00445812,-0.009745841,-0.044929348,0.05193173,-0.013287272,0.054919224,-0.017955795,0.024248745,0.07040304,-0.04642105,-0.045525208,-0.019479351,0.02061846,0.006991675,0.065125465,0.016732037,0.015466683,-0.07120163,0.06356102,-0.027258473,0.0360317,0.015885418,0.007205151,-0.008969637,0.049388763,0.016217139,-0.022901328,-0.10217844,0.076789096,0.034183856,0.003906279,0.011681182,-0.14347449,0.0719464,0.009890269,0.029675238,-0.09515109,0.09975276,0.014445299,-0.015437071,-0.020542901,-0.007141226,0.08555265,-0.03749118,-0.054513376,0.0823025,0.016462743,0.002096686
2dmmq7_c,796.4205,4.109231024,0.053505983,-0.059302837,-0.096238084,0.10994868,-0.06011385,-0.030840036,-0.003065259,0.010268723,0.033018645,-0.052664652,0.017346017,0.05520494,-0.087746814,-0.02303287,-0.07118174,0.023770172,-0.047072515,-0.018462332,0.058268923,0.048202906,0.07952156,0.07901922,0.022402156,-0.02664522,-0.075554706,0.043206703,-0.046389446,-0.06622272,-0.0747453,-0.093913935,0.030950561,-0.018263167,0.012193336,0.02293818,0.026028836,-0.03646731,0.006208027,-0.03340106,0.08550128,-0.06261758,0.041862458,-0.07415349,-0.025880309,0.05947977,-0.042379126,-0.02470662,-0.000853136,0.04759125,0.033770695,-0.035958517,0.011182059,-0.042429183,-0.03940339,-0.11075617,-0.0503965,0.082786806,-0.016022434,-0.014848865,-0.009973436,0.070556276,0.03816869,-0.01833517,0.029810136,0.08273613,0.05583601,0.043438457,0.043155253,0.023849266,0.064320706,0.105666906,-0.116094224,-0.04228505,0.013017752,-0.014560854,0.018129129,-0.12559399,0.000599865,0.09254895,-0.009723688,0.07423631,0.015548739,-0.020228293,-0.04309757,0.058762047,-0.008453461,0.057106443,-0.01427258,0.016352205,0.06006591,-0.048892498,-0.053109188,-0.008506181,0.033685096,0.009181295,0.058991108,0.020835005,0.01841522,-0.06610125,0.055486754,-0.017884592,0.03719165,0.00849723,0.009540345,-0.016272388,0.055187162,0.009000233,-0.028969344,-0.10242312,0.081708886,0.03689126,0.003405316,0.01331679,-0.1386427,0.081912674,0.010050797,0.025394525,-0.0972954,0.09316281,0.007756794,-0.011240162,-0.012409342,-0.004290158,0.08946694,-0.043758094,-0.050120454,0.09241374,0.009180027,-0.004493528
dtpcudcpp_c,753.04114,3.912831888,0.052855603,-0.06204965,-0.096725464,0.119363196,-0.0580107,-0.023999903,-0.013419273,0.00861377,0.021367872,-0.058358938,0.012090537,0.054211088,-0.089208715,-0.032419503,-0.07598949,0.033934865,-0.046762653,-0.009789902,0.048267532,0.062444855,0.085577674,0.08420303,0.017494202,-0.037170313,-0.072274156,0.047852423,-0.04666138,-0.06448171,-0.07557223,-0.09546936,0.033942427,-0.009911752,0.003243792,0.01241025,0.024271393,-0.046121813,0.003950736,-0.03662933,0.08235237,-0.06266179,0.04002206,-0.074832805,-0.012149906,0.04922813,-0.054281916,-0.024252681,-0.015373964,0.045713294,0.029014347,-0.036846537,-8.75E-05,-0.04837851,-0.046384327,-0.10734428,-0.055381443,0.08270717,-0.020194273,-0.013749859,-0.012509388,0.057896208,0.04057244,-0.029036148,0.025830433,0.092230946,0.064153835,0.045278657,0.040111423,0.023786834,0.069600224,0.10751702,-0.11534983,-0.03440652,0.003410002,-0.018898174,0.012583368,-0.11590257,0.003511675,0.080715984,-0.012560807,0.06901829,0.001673844,-0.020061124,-0.038515188,0.05033482,-0.006717708,0.05606275,-0.011052953,0.017672254,0.06639557,-0.05106,-0.05816594,-0.01524577,0.032313067,0.000666037,0.061019965,0.020325769,0.018937735,-0.06880555,0.059906673,-0.016290655,0.030828148,0.014117595,0.004600317,-0.022725292,0.040501956,0.012812324,-0.031792004,-0.1052702,0.080935344,0.033134144,0.014812307,0.002001676,-0.13874613,0.07165638,-0.00048847,0.0301863,-0.09748591,0.10141588,0.005734488,-0.001240118,-0.014835687,-0.007343554,0.090392,-0.038148325,-0.046038378,0.0900533,0.02348544,0.002240422
udcpdp_c,753.04114,3.912831888,0.05670704,-0.0685514,-0.10705505,0.1139157,-0.05994032,-0.032418042,-0.011659066,0.005550207,0.031765666,-0.067972094,0.019607412,0.061463572,-0.09819395,-0.034060456,-0.086014695,0.028670115,-0.05898025,-0.012412996,0.058274712,0.058653288,0.090875454,0.08391275,0.018810533,-0.035854824,-0.07170036,0.04871713,-0.059772864,-0.060652018,-0.08182953,-0.09758313,0.04313725,-0.008835291,0.012724089,0.01371359,0.027974838,-0.051642727,-0.001009117,-0.05079275,0.08350418,-0.069295175,0.04405571,-0.09120817,-0.024963189,0.06347581,-0.054264024,-0.025259754,-0.006064317,0.04237179,0.032739606,-0.041484073,0.012531477,-0.046885964,-0.0506836,-0.111557215,-0.052748907,0.0953886,-0.024814434,-0.02484925,-0.006549161,0.075577326,0.03955107,-0.023266725,0.019304402,0.09164483,0.062142253,0.049710017,0.05106317,0.023182545,0.0778559,0.1169358,-0.12243503,-0.035749502,0.00299051,-0.025758328,0.011709633,-0.12444489,-0.001023787,0.09229241,-0.011059162,0.0807589,0.014039704,-0.018433265,-0.038946226,0.06023147,-0.004256111,0.0630983,-0.013325912,0.027388424,0.0776479,-0.040867023,-0.050010316,-0.016243907,0.026106285,0.005408418,0.06621087,0.014870134,0.023788517,-0.07396254,0.06050101,-0.019611733,0.03656597,0.013204482,0.006319189,-0.020843042,0.044997524,0.006018841,-0.028870195,-0.1091754,0.085307635,0.03163577,0.012237616,0.011057396,-0.13965124,0.08329369,0.007378139,0.029357307,-0.09812744,0.10843808,0.013930392,-0.016267259,-0.016145827,-0.000221722,0.087156996,-0.041825626,-0.049661994,0.09316496,0.016659398,-0.002806459
uagmda_c,724.0928,3.781768889,0.063943096,-0.07144249,-0.13658625,0.1446352,-0.06890088,-0.04086225,-0.009865485,0.006275828,0.044411525,-0.0700647,0.016494734,0.08241164,-0.11816277,-0.03386116,-0.0990072,0.036480065,-0.06378429,-0.011126597,0.07358139,0.069551714,0.10760503,0.10073459,0.034037843,-0.0428541,-0.09567267,0.058334768,-0.06488895,-0.0806688,-0.09919542,-0.11273469,0.048163105,-0.024795579,0.004488478,0.01868502,0.036851868,-0.060328785,0.011975857,-0.052874796,0.10431445,-0.08745788,0.063604586,-0.10505048,-0.023770764,0.07870101,-0.073347844,-0.036922008,-0.012872705,0.067468226,0.0404949,-0.053194597,0.005246143,-0.060922194,-0.05713311,-0.13722733,-0.0730295,0.122620314,-0.027346874,-0.022431934,-0.007447667,0.08346344,0.043194752,-0.030908002,0.034388166,0.104667865,0.08813195,0.05113067,0.048164908,0.03254121,0.090791956,0.13594808,-0.13675089,-0.051489677,0.002278502,-0.027815413,0.014474195,-0.15313931,-0.003262234,0.1169357,-0.002729204,0.09277681,0.004447875,-0.01703848,-0.05201846,0.0715561,-0.003777626,0.064856194,-0.010701224,0.030977657,0.09014265,-0.057661798,-0.06259333,-0.022643235,0.028979283,0.000706403,0.07943224,0.023314156,0.023689657,-0.08972729,0.06755769,-0.028976746,0.042687345,0.014307085,0.011526243,-0.025597963,0.056914903,0.014567205,-0.045650765,-0.13531907,0.10226449,0.043231454,0.011612818,0.016035471,-0.17286997,0.10165588,0.011123596,0.035985943,-0.12064915,0.12675159,0.015924001,-0.00352404,-0.014907453,-0.009917313,0.10888117,-0.052336577,-0.062403373,0.1106708,0.023020562,-0.007577289
uaagmda_c,704.7874,3.694364098,0.056832053,-0.07441732,-0.12541734,0.13506216,-0.06208094,-0.030551344,-0.004245225,0.004073187,0.04236633,-0.059202455,0.016927341,0.07006965,-0.10626259,-0.03020781,-0.075802535,0.023225129,-0.06681883,-0.018644694,0.06953647,0.06689403,0.09319807,0.091394514,0.03350696,-0.03693849,-0.08350113,0.05049831,-0.061797094,-0.0699893,-0.0770781,-0.10113703,0.034507547,-0.02522556,0.001607031,0.019048719,0.030082678,-0.054425366,0.010302956,-0.047983043,0.089838445,-0.06730806,0.056433447,-0.0866392,-0.031267412,0.070382245,-0.060409002,-0.034044486,-0.007649945,0.04996326,0.036388937,-0.04285975,0.004856472,-0.048244935,-0.045513954,-0.12676904,-0.06025637,0.10982521,-0.024619395,-0.01518688,-0.005564125,0.07953473,0.043259703,-0.024496539,0.023978738,0.10312929,0.06857451,0.048875198,0.050134018,0.032491602,0.086415045,0.12316221,-0.13531813,-0.04004207,0.003200422,-0.013834293,0.015516614,-0.13555463,0.007004177,0.094734356,0.001910787,0.09272556,0.010406657,-0.01415976,-0.05055953,0.070024915,-0.01184975,0.06274396,-0.017492551,0.023782164,0.075959586,-0.05606276,-0.06390267,-0.009757654,0.029191412,0.007396265,0.07946785,0.02205037,0.027864113,-0.08554004,0.065732375,-0.024779564,0.03574032,0.008462117,0.001458725,-0.013566825,0.058931675,0.010069262,-0.03873118,-0.1178306,0.08198298,0.041719757,0.010685453,0.000999536,-0.16508397,0.08685569,-0.001014615,0.02167025,-0.11347278,0.113549024,0.007591161,-0.008312137,-0.008679166,-0.005890485,0.09597691,-0.04319594,-0.052316517,0.095246464,0.013033064,-0.009121783
hemeO_c,611.5327,3.272155413,0.09002226,-0.10634134,-0.17548893,0.19757943,-0.113287956,-0.046449937,-0.016106438,0.014630208,0.053090405,-0.106939845,0.03090842,0.11393227,-0.15578222,-0.056437038,-0.13910085,0.051679645,-0.09556893,-0.025795007,0.09128639,0.1033346,0.14008301,0.14029713,0.03666879,-0.05754909,-0.11717053,0.08552054,-0.09633243,-0.122007206,-0.1280613,-0.16468237,0.057169303,-0.03077674,0.01297329,0.039394107,0.062001225,-0.07971453,0.002555547,-0.08083921,0.13832198,-0.11849491,0.08420354,-0.14046073,-0.03356919,0.09900902,-0.08550956,-0.051137425,-0.019972684,0.08546054,0.060826857,-0.06320887,0.009854679,-0.07064844,-0.06682306,-0.20201999,-0.09675824,0.15624142,-0.042359874,-0.03354862,-0.02437724,0.12210219,0.07694293,-0.048095506,0.043201998,0.15609775,0.102186516,0.059960634,0.07745901,0.043863557,0.13108252,0.19049808,-0.19666868,-0.068994276,0.02107173,-0.03399219,0.03318647,-0.22315218,0.008214568,0.15548298,-0.012967736,0.14137603,0.018361684,-0.02541916,-0.06848009,0.108973905,-0.0121823,0.09531989,-0.027959883,0.031983703,0.120894,-0.08409861,-0.08227497,-0.02468407,0.05360524,0.004129614,0.11242136,0.034059487,0.045182552,-0.12839253,0.08699824,-0.030474743,0.061617743,0.02997053,0.010172402,-0.029112563,0.09145341,0.018008595,-0.05822508,-0.18184702,0.13196811,0.07098447,0.011051361,0.012383643,-0.24113856,0.13184261,0.00865074,0.033588625,-0.16478321,0.17117047,0.004951589,-0.02110851,-0.024058446,-0.014083774,0.14422242,-0.08282404,-0.08174965,0.15471688,0.027999323,-0.00265314
hemeA_c,561.44226,3.045372003,0.06908534,-0.07072373,-0.13908847,0.15122667,-0.07979146,-0.04427478,-0.010685423,0.003593823,0.04120915,-0.08523936,0.026164643,0.08771402,-0.11625549,-0.049228236,-0.099921465,0.029853929,-0.07015971,-0.014101972,0.067831986,0.06476137,0.1099848,0.0983147,0.030385468,-0.0400299,-0.09517064,0.060952008,-0.07345543,-0.09144186,-0.09724445,-0.11559369,0.047509804,-0.02574361,0.010162457,0.023153527,0.03523278,-0.052943535,-0.000654902,-0.04815993,0.10828097,-0.08622837,0.05362753,-0.10393751,-0.03332783,0.07857146,-0.07252665,-0.0360443,-0.003870832,0.06327317,0.037869744,-0.05162981,0.00404126,-0.047248088,-0.058774374,-0.1404737,-0.08314302,0.10664483,-0.024214616,-0.018033793,-0.021074267,0.084825225,0.055697296,-0.032170255,0.034463238,0.10573,0.083282866,0.05354232,0.056946307,0.039153393,0.100459754,0.13047844,-0.14587156,-0.048822887,0.016775591,-0.017536743,0.019104362,-0.15000314,0.003535355,0.10676911,-0.007891422,0.09506038,0.014670582,-0.022652911,-0.05315301,0.079684116,-0.005114422,0.07424395,-0.01869343,0.032473613,0.09795329,-0.062921874,-0.069123715,-0.018420959,0.033845786,-0.000220396,0.07734061,0.019438598,0.021933153,-0.10201014,0.069454014,-0.021943122,0.05098032,0.01847991,0.007961496,-0.029743504,0.06788788,0.016314592,-0.031014217,-0.13334444,0.09454177,0.048374772,0.0061239,0.001012733,-0.1801896,0.103984244,0.014842751,0.034131788,-0.11886779,0.12716101,0.014455477,-0.004090082,-0.014685373,-0.007761916,0.10247268,-0.0553996,-0.06580978,0.10585415,0.025164034,0.003118863
