,Rule,K,Enzyme,EC Numbers,EC_Number_firstdigit,reac_id,reac_name,reac_meta_name,reac_meta_value,reac_meta_name_list,Km,Kcat,Gibbs,SMILES
1,YAL012W,K01758,cystathionine gamma-lyase ,4.4.1.1,4,CYSTGL,Cystathionine g lyase,nh4_c,1,Ammonium,,,11.853362,[H][N+]([H])([H])[H]
2,YAL012W,K01758,cystathionine gamma-lyase ,4.4.1.1,4,CYSTGL,Cystathionine g lyase,cyst__L_c,-1,L-Cystathionine,0.45,1.41,-11.114318,[NH3+][C@@H](CCSC[C@H]([NH3+])C([O-])=O)C([O-])=O
3,YAL012W,K01758,cystathionine gamma-lyase ,4.4.1.1,4,CYSTGL,Cystathionine g lyase,cys__L_c,1,L-Cysteine,0.275,0.15,-9.312156,[NH3+][C@@H](CS)C([O-])=O
4,YAL012W,K01758,cystathionine gamma-lyase ,4.4.1.1,4,CYSTGL,Cystathionine g lyase,2obut_c,1,2-Oxobutanoate,,,-60.026466,CCC(=O)C([O-])=O
5,YAL022C,K15014,"solute carrier family 29 (equilibrative nucleoside transporter), member 1/2/3 ",,,CYTDt2,Cytidine transport in via proton symport,cytd_e,-1,Cytidine,,,-22.12543,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)n1
6,YAL022C,K15014,"solute carrier family 29 (equilibrative nucleoside transporter), member 1/2/3 ",,,CYTDt2,Cytidine transport in via proton symport,cytd_c,1,Cytidine,,,-22.12543,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)n1
7,YAL022C,K15014,"solute carrier family 29 (equilibrative nucleoside transporter), member 1/2/3 ",,,ADNt2,Adenosine transport in via proton symport,adn_e,-1,Adenosine,,,87.03457,Nc1ncnc2n(cnc12)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
8,YAL022C,K15014,"solute carrier family 29 (equilibrative nucleoside transporter), member 1/2/3 ",,,ADNt2,Adenosine transport in via proton symport,adn_c,1,Adenosine,,,87.03457,Nc1ncnc2n(cnc12)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
9,YAL054C,K01895,acetyl-CoA synthetase ,6.2.1.1,6,ACSp,Acetyl CoA synthetase,ppi_x,1,Diphosphate,,,-473.4674,OP([O-])(=O)OP([O-])([O-])=O
10,YAL054C,K01895,acetyl-CoA synthetase ,6.2.1.1,6,ACSm,Acetyl CoA synthetase,ppi_m,1,Diphosphate,,,-473.4674,OP([O-])(=O)OP([O-])([O-])=O
11,YAL054C,K01895,acetyl-CoA synthetase ,6.2.1.1,6,ACSp,Acetyl CoA synthetase,coa_x,-1,Coenzyme A,0.1365,,-493.56613,CC(C)(COP([O-])(=O)OP([O-])(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP([O-])([O-])=O)n1cnc2c(N)ncnc12)[C@@H](O)C(=O)NCCC(=O)NCCS
12,YAL054C,K01895,acetyl-CoA synthetase ,6.2.1.1,6,ACSm,Acetyl CoA synthetase,coa_m,-1,Coenzyme A,0.1365,,-493.56613,CC(C)(COP([O-])(=O)OP([O-])(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP([O-])([O-])=O)n1cnc2c(N)ncnc12)[C@@H](O)C(=O)NCCC(=O)NCCS
13,YAL054C,K01895,acetyl-CoA synthetase ,6.2.1.1,6,ACSp,Acetyl CoA synthetase,atp_x,-1,ATP C10H12N5O13P3,1.2,,-553.6995,C(OP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@H]3(O[C@@H](N1(C2(\C(\N=C/1)=C(N)/N=C\N=2)))[C@H](O)[C@H](O)3)
14,YAL054C,K01895,acetyl-CoA synthetase ,6.2.1.1,6,ACSm,Acetyl CoA synthetase,atp_m,-1,ATP C10H12N5O13P3,1.2,,-553.6995,C(OP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@H]3(O[C@@H](N1(C2(\C(\N=C/1)=C(N)/N=C\N=2)))[C@H](O)[C@H](O)3)
