Mol,SMILES,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
10fthf,[H]C(=O)N(C[C@H]1CNc2[nH]c(N)nc(=O)c2N1)c1ccc(cc1)C(=O)N[C@@H](CCC([O-])=O)C([O-])=O,0.00016298,-0.13806222,0.006788388,0.075434305,-0.074396595,0.020812403,-0.004606298,-0.033149272,0.051466517,-0.02546448,-0.006402853,0.15334626,-0.07303862,-0.060567472,-0.105673686,-0.02366318,0.023478368,-0.016246872,-0.07179942,-0.061705526,0.07761768,0.09618924,0.09283716,-0.050536226,-0.029477937,-0.03584824,-0.020960217,-0.08678917,-0.07682485,0.12130837,0.002678077,-0.06464316,-0.039711684,0.049194537,-0.015951293,-0.02290294,-0.008587029,-0.026796928,-0.08150307,-0.00233345,0.03191247,0.024896983,-0.027162274,-0.006500743,-0.059349775,0.06328142,0.05758209,0.07909109,-0.07379043,-0.016691342,-0.069764085,-0.022553064,0.07170293,0.018526936,-0.07746064,0.064262174,-0.0531382,-0.068499885,-0.0295128,0.092909716,0.06180601,-0.050654594,-0.016512465,0.1650413,0.089349836,0.110611945,-0.046696432,-0.032885663,0.099866696,0.042932358,-0.13693643,-0.016606042,-0.027455771,0.021821465,0.06749088,-0.030244999,0.010995624,-0.024959166,-0.07585839,0.037158873,0.018369267,-0.017621165,-0.046957593,0.12552781,0.08057023,0.09209724,-0.052466605,0.021940887,-0.02072217,-0.15959667,-0.047316246,-0.119653195,0.09051136,0.1373922,0.011862627,-0.03026097,-0.004119261,-0.03466693,0.00169597,0.001822108,0.019520443,0.033714388,0.08778904,-0.04809668,0.098141454,0.11788124,-0.09098852,-0.13129248,-0.08399894,-0.002933434,-0.118398204,0.11229564,0.06975469,0.07292161,-0.13468845,0.08636824,0.010944605,0.13015582,0.021441814,-0.088259116,0.028227082,-0.06397704,-0.026404042,0.103122085,0.04747049,0.06304726,-0.07438168,0.04097789
12d3k5m,CSCCC(=O)/C(O)=C/O,-0.002744619,-0.12148276,-0.002797501,0.07221475,-0.05415966,0.018624417,-0.00148114,-0.03307818,0.04476782,-0.016097793,-0.000549353,0.12976885,-0.06207971,-0.0627091,-0.101427585,-0.025482353,0.020593626,-0.023885606,-0.058490433,-0.055556692,0.059469797,0.088486284,0.08953958,-0.043112166,-0.030010832,-0.03356147,-0.033638746,-0.07916238,-0.06167187,0.103618585,0.007781426,-0.060233638,-0.025460733,0.050357684,-0.014777218,-0.02352302,-0.009802236,-0.025810733,-0.07066416,0.005110992,0.031967226,0.027300594,-0.012615387,-0.008495557,-0.053611442,0.060078528,0.054706406,0.070218876,-0.0672305,-0.014661405,-0.071468934,-0.02506947,0.0722518,0.006314558,-0.064926334,0.05091669,-0.05104011,-0.055759016,-0.022924833,0.08752272,0.058486447,-0.048108842,-0.016329637,0.14425449,0.07978224,0.09179171,-0.042999584,-0.028516194,0.08514697,0.031725686,-0.117311716,-0.001010487,-0.02187473,0.01739483,0.069481224,-0.034220237,0.014271185,-0.021626374,-0.071117274,0.043079346,0.031920888,-0.011278746,-0.03271358,0.11088698,0.07200225,0.07433609,-0.04710711,0.022028029,-0.014512744,-0.14836954,-0.047749527,-0.09899341,0.083384916,0.111938335,0.01401359,-0.03176026,0.005760981,-0.024516657,0.011613227,-0.002326604,0.025559599,0.03754853,0.073041245,-0.056077812,0.08880073,0.09283488,-0.08004083,-0.10726481,-0.06408032,0.005602858,-0.108250536,0.10169203,0.0650858,0.06607825,-0.12851833,0.067785546,0.014322465,0.11850684,0.011842589,-0.07048875,0.026254402,-0.05336224,-0.024291927,0.08941621,0.03735187,0.04923156,-0.06518781,0.030673647
12dgr120,CCCCCCCCCCCC(=O)OCC(CO)OC(=O)CCCCCCCCCCC,0.001392517,-0.11368697,-0.006915994,0.070968784,-0.0430676,0.013969066,0.002652801,-0.03546489,0.04097087,-0.012207487,-0.007730163,0.10981917,-0.04982262,-0.048019834,-0.083012864,-0.022446398,0.026595168,-0.017977914,-0.05282205,-0.056193665,0.052483615,0.07205216,0.07988545,-0.04261236,-0.020155504,-0.023642944,-0.020845803,-0.06647977,-0.055937327,0.09346753,0.009476638,-0.042590443,-0.023019312,0.040402032,-0.00988235,-0.009774226,-0.005600173,-0.022779444,-0.06798946,-0.006690944,0.026897913,0.020299783,-0.012406705,-0.004944615,-0.04664133,0.044194844,0.051596165,0.06540183,-0.06622096,-0.000771326,-0.05210035,-0.026098223,0.051111195,0.008437933,-0.06583808,0.05157155,-0.044298254,-0.03847905,-0.02660564,0.06660015,0.044064797,-0.04919642,-0.015754957,0.12940939,0.06589857,0.07604794,-0.03763514,-0.03770959,0.077715136,0.033671312,-0.107930556,-0.005142022,-0.03411529,0.021200294,0.05498004,-0.03131684,0.011527183,-0.014038939,-0.050498623,0.032902226,0.017098516,-0.017216962,-0.041579183,0.09714401,0.0626468,0.07286268,-0.03366672,0.01829177,-0.02078953,-0.13055052,-0.046082113,-0.0944872,0.07582519,0.097018406,-0.000902145,-0.022946283,0.005096812,-0.030307349,0.003686174,-0.004387588,0.01372845,0.027773743,0.060864102,-0.045396358,0.06233227,0.08224762,-0.0705598,-0.10192667,-0.058983006,-0.005952486,-0.091026805,0.09131475,0.05827039,0.060541738,-0.09848005,0.060991872,0.002733097,0.08859678,0.014630136,-0.05953078,0.013472795,-0.057726096,-0.02915047,0.07019901,0.04578832,0.042209238,-0.070658594,0.033192422
12dgr140,CCCCCCCCCCCCCC(=O)OCC(CO)OC(=O)CCCCCCCCCCCCC,0.000730679,-0.12251959,-0.002613501,0.05972808,-0.056944534,0.020260474,0.00217753,-0.03944207,0.04018007,-0.013292111,0.00313304,0.12589224,-0.053952504,-0.044369366,-0.09368284,-0.025248187,0.017295413,-0.015133062,-0.05420969,-0.045430016,0.052181926,0.06921767,0.07861853,-0.030648539,-0.019796275,-0.028506048,-0.017758029,-0.06546432,-0.06424487,0.09773586,0.016456587,-0.040740248,-0.031700827,0.048587818,-0.006926592,-0.021787189,-0.003481547,-0.021844065,-0.06628641,-0.001616105,0.03153567,0.011757865,-0.025610995,0.002309487,-0.04771593,0.0416484,0.049602468,0.06972916,-0.05689497,-0.013921736,-0.0563045,-0.030810134,0.054099653,0.01442328,-0.06720464,0.05196879,-0.046300806,-0.03987884,-0.02228452,0.07627292,0.056436423,-0.050247524,-0.013136027,0.123334296,0.06440159,0.0918777,-0.038021162,-0.04056834,0.07983737,0.03658219,-0.09669622,-0.00588087,-0.023516897,0.009242458,0.051048223,-0.031451408,0.015395809,-0.025378238,-0.056335863,0.02850932,0.030959472,-0.011744961,-0.037724275,0.10900883,0.06726647,0.06392038,-0.035056297,0.029469544,-0.014433797,-0.12549922,-0.035997193,-0.09620131,0.067039035,0.10834447,0.007773278,-0.029615425,0.003110598,-0.02650392,0.007611756,0.005039418,0.012659286,0.029529752,0.061430346,-0.049496524,0.07867818,0.08293246,-0.08426759,-0.0966862,-0.05708712,-3.42E-05,-0.08812361,0.08773042,0.06576822,0.06687538,-0.103871144,0.062488195,0.005019306,0.09399025,0.015492711,-0.068927355,0.021109417,-0.05476692,-0.032001402,0.070437126,0.041664604,0.050914917,-0.06727644,0.025336593
12dgr141,CCCCCCC=CCCCCCC(=O)OCC(CO)OC(=O)CCCCCC=CCCCCCC,0.001796746,-0.1179275,-0.006408471,0.06248732,-0.047574177,0.019559221,0.002656739,-0.03650201,0.05064355,-0.019349137,0.005668828,0.11185631,-0.045850717,-0.040447973,-0.086839706,-0.019482436,0.022395682,-0.018155621,-0.058629688,-0.05681744,0.0552637,0.07229869,0.07821811,-0.041754894,-0.01216703,-0.030317962,-0.01677446,-0.059613485,-0.05336063,0.09144713,0.006707775,-0.052060716,-0.02946198,0.04404915,-0.008858208,-0.014041135,-0.0106266,-0.025661742,-0.061851863,0.004422476,0.021667488,0.016799858,-0.0169036,0.001632908,-0.05262645,0.041366667,0.049810432,0.05560968,-0.061816297,-0.006588086,-0.06359371,-0.022055306,0.060335632,0.017209448,-0.06436626,0.04178738,-0.048521254,-0.04964675,-0.027696654,0.07161183,0.0451198,-0.043855805,-0.007942893,0.12867306,0.06346623,0.07454504,-0.040479988,-0.039789736,0.07357679,0.037987746,-0.10413416,-0.007247794,-0.025678102,0.019371003,0.049837623,-0.026050644,0.009035049,-0.014852902,-0.063257486,0.034485992,0.028742436,-0.016913023,-0.041337453,0.09266287,0.063081525,0.06731393,-0.044813372,0.028157726,-0.02048403,-0.13154753,-0.042049963,-0.090221986,0.06962355,0.10343316,0.006164023,-0.033601236,-1.75E-05,-0.018751837,0.011629031,0.001901935,0.022686029,0.034481432,0.05621118,-0.043868206,0.067175366,0.08199704,-0.07728361,-0.10044267,-0.0654568,-0.001112066,-0.09170558,0.08891145,0.059879895,0.059956107,-0.10518848,0.06827482,0.01664135,0.101278216,0.018399222,-0.06456087,0.015682012,-0.057291362,-0.027814845,0.08102953,0.045523208,0.0458646,-0.0669017,0.020495411
12dgr160,CCCCCCCCCCCCCCCC(=O)OC[C@H](CO)OC(=O)CCCCCCCCCCCCCCC,0.001993072,-0.114501365,-0.003087193,0.06432269,-0.055934574,0.023123806,0.001427605,-0.03832534,0.05352786,-0.008026538,-0.005818489,0.121871844,-0.05530188,-0.043981284,-0.092555,-0.020733757,0.02105773,-0.024758944,-0.05512146,-0.044010628,0.057325903,0.066795215,0.07393799,-0.036687728,-0.017956452,-0.02351594,-0.025172785,-0.057518438,-0.053346954,0.08581852,0.002220249,-0.039957635,-0.026100567,0.044123735,-0.013909041,-0.014201558,-0.00537573,-0.0204677,-0.06333748,-0.00046219,0.024936456,0.016591907,-0.019966012,0.001747858,-0.053449612,0.038721234,0.05282623,0.058701605,-0.056003444,-0.00423892,-0.066939704,-0.01800884,0.0558104,0.013299135,-0.065800816,0.038252305,-0.038928553,-0.047814477,-0.026580285,0.07353761,0.042333096,-0.047862157,-0.009576622,0.12376146,0.07134927,0.07515378,-0.03024025,-0.032242768,0.067250274,0.030462507,-0.09568502,-0.006274253,-0.025972076,0.019434778,0.05401099,-0.030188637,0.001854931,-0.014900031,-0.06091593,0.029814834,0.021984035,-0.007642834,-0.031582735,0.10218477,0.06455705,0.061063696,-0.0315414,0.031208683,-0.017111812,-0.13037802,-0.04241841,-0.09439813,0.06744118,0.09807525,0.0015972,-0.031472668,0.002035622,-0.029767165,0.007433628,-0.001997355,0.013056275,0.030716455,0.061720908,-0.033642747,0.06778628,0.08246173,-0.06596392,-0.0938769,-0.06382083,-0.006518992,-0.08442408,0.08650665,0.05953936,0.0581125,-0.09925982,0.06108238,0.00369255,0.093169376,0.016032148,-0.060933493,0.022505576,-0.061618574,-0.02177819,0.06736855,0.040032905,0.03945694,-0.060208514,0.020128405
12dgr161,CCCCCCC=CCCCCCCCC(=O)OCC(CO)OC(=O)CCCCCCCC=CCCCCCC,-0.011484109,-0.110892415,-0.006895334,0.057806045,-0.05152214,0.025680529,0.0031162,-0.02673577,0.04723455,-0.015156836,0.002189186,0.11133226,-0.052304868,-0.040109083,-0.07762117,-0.017113058,0.01338686,-0.011880295,-0.051993728,-0.052185696,0.05119203,0.070357084,0.061895583,-0.02743805,-0.01625067,-0.017203216,-0.025254399,-0.060738407,-0.058714125,0.091787696,0.008896424,-0.03960821,-0.022441462,0.045916453,-0.011599551,-0.021512585,-0.001962631,-0.025642939,-0.06913238,0.000644208,0.028135411,0.009017716,-0.023431603,-0.006620504,-0.0455591,0.03754861,0.03500619,0.0647754,-0.06239276,-0.005206934,-0.048150506,-0.023536291,0.056743097,0.011656749,-0.0698016,0.047592007,-0.032461446,-0.03383937,-0.025433317,0.0727874,0.041108467,-0.03885012,-0.020951146,0.11652362,0.056344073,0.071729034,-0.02753205,-0.028675184,0.06801869,0.041686133,-0.09701959,-0.004258913,-0.029841224,0.019043963,0.057610016,-0.014718298,0.012788121,-0.017275473,-0.05171072,0.025860107,0.02381917,-0.013336059,-0.03762572,0.09032917,0.061653335,0.05438621,-0.03494516,0.02626295,-0.012512085,-0.11456709,-0.033111878,-0.08108041,0.06337634,0.088294715,-0.001170791,-0.024587974,-0.003980088,-0.026068201,0.011146297,-0.002772559,0.016181722,0.029212028,0.06012347,-0.04198021,0.06970087,0.08261942,-0.06445182,-0.09277278,-0.05868397,0.000310274,-0.07734745,0.08273242,0.05127461,0.059472077,-0.09259307,0.054876104,0.002897295,0.093301915,0.003181749,-0.056242812,0.017862149,-0.057432447,-0.023399292,0.0688885,0.04266725,0.04752656,-0.056254514,0.027229773
12dgr180,CCCCCCCCCCCCCCCCCC(=O)OCC(CO)OC(=O)CCCCCCCCCCCCCCCCC,-0.000703858,-0.1159217,0.005173295,0.06371449,-0.054640412,0.018363591,0.003858778,-0.02727096,0.051260028,-0.007500932,-0.001575556,0.109937474,-0.053269353,-0.04048517,-0.08884927,-0.021830933,0.021738125,-0.022392416,-0.048365247,-0.05801629,0.05395613,0.07520097,0.07456,-0.029702317,-0.02440684,-0.026187934,-0.01959992,-0.06458789,-0.06099672,0.086965516,0.006975955,-0.04856627,-0.02336488,0.05014172,-0.012398552,-0.011075589,-0.006149664,-0.0158307,-0.059795722,-0.003047618,0.023235938,0.019958299,-0.02434215,-0.001419455,-0.039821688,0.05029677,0.052256584,0.06286175,-0.058953702,-0.004321139,-0.05522093,-0.023938933,0.05676337,0.009146735,-0.06129976,0.039749622,-0.033874698,-0.04301778,-0.020197436,0.076782346,0.046747804,-0.039934494,-0.009148425,0.12328776,0.05739696,0.08474968,-0.03061731,-0.034802265,0.065434836,0.038403496,-0.107542306,-0.008900753,-0.02301636,0.01881467,0.060274787,-0.031249864,0.00904403,-0.010286116,-0.062490944,0.03265698,0.03032245,-0.014464507,-0.041664615,0.09987207,0.061866645,0.06711858,-0.042088084,0.01889373,-0.02669253,-0.1269335,-0.04492175,-0.088201046,0.075471096,0.104721084,0.000119963,-0.02757871,-0.003648196,-0.019759022,0.007678027,0.00369849,0.01766207,0.02830686,0.067714304,-0.03838148,0.07668536,0.0844838,-0.07430587,-0.09867778,-0.053718366,-0.001527503,-0.092849575,0.09323847,0.052215215,0.065961145,-0.1014447,0.062076334,0.006152902,0.09332079,0.012918641,-0.06644729,0.02260321,-0.053782932,-0.017655404,0.070300855,0.036353357,0.05286513,-0.07209771,0.023386123
12dgr181,CCCCCCC=CCCCCCCCCCC(=O)OCC(CO)OC(=O)CCCCCCCCCC=CCCCCCC,0.001673588,-0.10452302,-0.003367844,0.053917244,-0.05280069,0.019933116,0.006188883,-0.025582526,0.04587066,-0.008395666,0.001608097,0.11056732,-0.05444779,-0.043583862,-0.081313945,-0.011311846,0.016025372,-0.017489096,-0.048427843,-0.042415056,0.04729942,0.07490924,0.07635799,-0.030068876,-0.021275014,-0.022653108,-0.024657918,-0.059974845,-0.051107306,0.07855877,0.005239933,-0.040140867,-0.024745211,0.046493117,-0.011156649,-0.014502647,-0.003496691,-0.02815093,-0.05730442,-0.004730625,0.02299992,0.019292885,-0.025138373,-0.000696343,-0.045766413,0.04560594,0.034775693,0.05703738,-0.063521944,-0.003053431,-0.052434724,-0.017436186,0.051484846,0.009481945,-0.0562062,0.043877352,-0.035712086,-0.04851932,-0.024585761,0.069898225,0.03950734,-0.043126337,-0.01173892,0.107648924,0.06517411,0.07143047,-0.03249033,-0.036073662,0.06991586,0.03771674,-0.09785672,-0.00138032,-0.026107019,0.015865441,0.05814867,-0.020283286,0.012691324,-0.010463662,-0.04963846,0.036542706,0.028783476,-0.012196584,-0.035207238,0.09616688,0.05857105,0.06689928,-0.040723175,0.030304262,-0.017293435,-0.10993941,-0.039105177,-0.09533007,0.0564551,0.09197602,-0.00290256,-0.0344142,0.001744533,-0.029159147,0.008063126,0.001311628,0.009628977,0.037651323,0.05141413,-0.036297895,0.06274931,0.08408778,-0.069985196,-0.092705876,-0.06067667,0.004474654,-0.08786661,0.08512101,0.0532755,0.058138113,-0.0963757,0.047804233,0.012679962,0.08822547,0.010557765,-0.064693525,0.013479846,-0.05509445,-0.031343784,0.06543426,0.037340183,0.050323475,-0.0690226,0.016827142
12ppd__R,C[C@@H](O)CO,-0.00052005,-0.11771938,-0.005059386,0.061994072,-0.048196226,0.021709304,0.004082074,-0.032696497,0.055460352,-0.022079693,0.00100479,0.11870598,-0.06044984,-0.045053065,-0.100272484,-0.018238882,0.012910293,-0.019484421,-0.047842767,-0.051232535,0.054844894,0.0753385,0.0739441,-0.034593534,-0.019065842,-0.022571713,-0.021245124,-0.06546643,-0.061235677,0.099662006,0.002001496,-0.05494106,-0.035064716,0.03741738,-0.015501936,-0.013072511,-0.008592071,-0.025305912,-0.07785593,-0.000575154,0.027702404,0.01371182,-0.016132561,-0.004567353,-0.0517716,0.043747965,0.043979187,0.06743922,-0.06518585,-0.01236908,-0.06418378,-0.026825875,0.060593497,0.008766222,-0.06838327,0.043741908,-0.04263575,-0.056648634,-0.02839522,0.08139638,0.046117663,-0.038564153,-0.011839091,0.13664493,0.062236346,0.09011405,-0.033532698,-0.03232059,0.076442584,0.03269405,-0.100078054,-0.008584253,-0.01958778,0.023916624,0.05417008,-0.03286266,0.007424553,-0.016910141,-0.060024794,0.04082567,0.022228433,-0.019693485,-0.033930913,0.10385447,0.06603817,0.07697841,-0.05160562,0.025781563,-0.016307833,-0.12988505,-0.045214877,-0.097451806,0.082224265,0.11604773,0.014536587,-0.027335444,-0.000495581,-0.021123065,0.003199826,-0.001980196,0.017468171,0.03392601,0.0685229,-0.046886355,0.07410275,0.08771853,-0.080695145,-0.10389469,-0.06431315,-0.00589212,-0.10169849,0.09661189,0.0643754,0.06933714,-0.12180396,0.06661375,0.015597212,0.10071336,0.01972484,-0.07012329,0.030134613,-0.05448668,-0.02970062,0.07639171,0.03307885,0.043287154,-0.060337316,0.031006156
