,enzyme_name,mole_name,reac_value,in_mvec
26,YBL013W,mettrna_m,-1.0,False
27,YBL013W,fmettrna_m,1.0,False
34,YBL076C,trnaile_c,-1.0,False
35,YBL076C,iletrna_c,1.0,False
55,YBR029C,pa_SC_m,-0.01,False
56,YBR029C,pa_SC_c,-0.01,False
58,YBR029C,cdpdag_SC_m,0.01,False
59,YBR029C,cdpdag_SC_c,0.01,False
96,YBR084W,methf_m,-1.0,False
97,YBR084W,methf_m,1.0,False
111,YBR153W,25dthpp_c,1.0,False
119,YBR180W,Nbfortyr_e,1.0,False
120,YBR180W,Nbfortyr_c,-1.0,False
176,YCL004W,pgp_SC_m,0.01,False
179,YCL004W,cdpdag_SC_m,-0.01,False
187,YCL050C,ap4g_c,1.0,False
196,YCR024C,trnaasn_m,-1.0,False
199,YCR024C,asntrna_m,1.0,False
217,YCR048W,odecoa_c,-0.27,False
218,YCR048W,odecoa_c,-0.27,False
219,YCR048W,odecoa_c,-0.27,False
220,YCR048W,lanostest_SC_c,0.01,False
228,YCR048W,fecostest_SC_c,0.01,False
230,YCR048W,epistest_SC_c,0.01,False
258,YDL142C,pg_SC_m,-0.01,False
260,YDL142C,clpn_SC_m,0.01,False
261,YDL142C,cdpdag_SC_m,-0.01,False
285,YDR017C,ppmi1346p_c,1.0,False
286,YDR017C,ppmi12346p_c,1.0,False
292,YDR037W,trnalys_c,-1.0,False
293,YDR037W,lystrna_c,1.0,False
301,YDR072C,ptd1ino_SC_c,-0.01,False
302,YDR072C,ptd1ino_SC_c,-0.01,False
303,YDR072C,ptd1ino_SC_c,-0.01,False
304,YDR072C,ptd1ino_SC_c,-0.01,False
305,YDR072C,ptd1ino_SC_c,-0.01,False
306,YDR072C,ptd1ino_SC_c,-0.01,False
307,YDR072C,mipc326_SC_c,-0.01,False
308,YDR072C,mipc324_SC_c,-0.01,False
309,YDR072C,mipc226_SC_c,-0.01,False
310,YDR072C,mipc224_SC_c,-0.01,False
311,YDR072C,mipc126_SC_c,-0.01,False
312,YDR072C,mipc124_SC_c,-0.01,False
313,YDR072C,mip2c326_SC_c,0.01,False
314,YDR072C,mip2c324_SC_c,0.01,False
315,YDR072C,mip2c226_SC_c,0.01,False
316,YDR072C,mip2c224_SC_c,0.01,False
317,YDR072C,mip2c126_SC_c,0.01,False
318,YDR072C,mip2c124_SC_c,0.01,False
319,YDR072C,12dgr_SC_c,0.01,False
320,YDR072C,12dgr_SC_c,0.01,False
321,YDR072C,12dgr_SC_c,0.01,False
322,YDR072C,12dgr_SC_c,0.01,False
323,YDR072C,12dgr_SC_c,0.01,False
324,YDR072C,12dgr_SC_c,0.01,False
347,YDR208W,ptd4ino_SC_c,-0.01,False
348,YDR208W,ptd145bp_SC_c,0.01,False
372,YDR268W,trptrna_m,1.0,False
374,YDR268W,trnatrp_m,-1.0,False
399,YDR341C,trnaarg_c,-1.0,False
400,YDR341C,argtrna_c,1.0,False
438,YEL011W,glycogen_c,1.0,False
439,YEL011W,14glun_c,-1.0,False
484,YER019W,mipc326_SC_c,-0.01,False
485,YER019W,mipc324_SC_c,-0.01,False
486,YER019W,mipc226_SC_c,-0.01,False
487,YER019W,mipc224_SC_c,-0.01,False
488,YER019W,mipc126_SC_c,-0.01,False
489,YER019W,mipc124_SC_c,-0.01,False
490,YER019W,mip2c326_SC_c,-0.01,False
491,YER019W,mip2c324_SC_c,-0.01,False
492,YER019W,mip2c226_SC_c,-0.01,False
493,YER019W,mip2c224_SC_c,-0.01,False
494,YER019W,mip2c126_SC_c,-0.01,False
495,YER019W,mip2c124_SC_c,-0.01,False
508,YER019W,man2mi1p__D_c,1.0,False
509,YER019W,man2mi1p__D_c,1.0,False
510,YER019W,man2mi1p__D_c,1.0,False
511,YER019W,man2mi1p__D_c,1.0,False
512,YER019W,man2mi1p__D_c,1.0,False
513,YER019W,man2mi1p__D_c,1.0,False
514,YER019W,ipc326_SC_c,-0.01,False
515,YER019W,ipc324_SC_c,-0.01,False
516,YER019W,ipc226_SC_c,-0.01,False
517,YER019W,ipc224_SC_c,-0.01,False
518,YER019W,ipc126_SC_c,-0.01,False
519,YER019W,ipc124_SC_c,-0.01,False
520,YER019W,cer3_26_c,1.0,False
521,YER019W,cer3_26_c,1.0,False
522,YER019W,cer3_26_c,1.0,False
523,YER019W,cer3_24_c,1.0,False
524,YER019W,cer3_24_c,1.0,False
525,YER019W,cer3_24_c,1.0,False
544,YER026C,ps_SC_m,0.01,False
545,YER026C,ps_SC_c,0.01,False
547,YER026C,cdpdag_SC_m,-0.01,False
548,YER026C,cdpdag_SC_c,-0.01,False
595,YER175C,acon5m_c,1.0,False
610,YFR019W,ptd3ino_SC_c,-0.01,False
611,YFR019W,ptd135bp_SC_c,0.01,False
626,YGL001C,zym_int2_c,1.0,False
627,YGL001C,zym_int1_c,-1.0,False
628,YGL001C,4mzym_int2_c,1.0,False
629,YGL001C,4mzym_int1_c,-1.0,False
650,YGL055W,odecoa_c,1.0,False
696,YGL245W,trnaglu_c,-1.0,False
697,YGL245W,glutrna_c,1.0,False
710,YGR060W,zym_int1_c,1.0,False
711,YGR060W,4mzym_int1_c,1.0,False
713,YGR060W,44mzym_c,-1.0,False
721,YGR094W,valtrna_m,1.0,False
722,YGR094W,valtrna_c,1.0,False
725,YGR094W,trnaval_m,-1.0,False
726,YGR094W,trnaval_c,-1.0,False
735,YGR157W,ptdmeeta_SC_c,0.01,False
736,YGR157W,pe_SC_c,-0.01,False
739,YGR170W,ps_SC_v,-0.01,False
740,YGR170W,ps_SC_g,-0.01,False
741,YGR170W,pe_SC_v,0.01,False
742,YGR170W,pe_SC_g,0.01,False
745,YGR171C,trnamet_m,-1.0,False
747,YGR171C,mettrna_m,1.0,False
751,YGR185C,tyrtrna_c,1.0,False
753,YGR185C,trnatyr_c,-1.0,False
767,YGR247W,amp2p_c,1.0,False
771,YGR264C,trnamet_c,-1.0,False
777,YGR282C,13BDglcn_c,-1.0,False
789,YHR019C,trnaasn_c,-1.0,False
790,YHR019C,asntrna_c,1.0,False
820,YHR091C,trnaarg_m,-1.0,False
823,YHR091C,argtrna_m,1.0,False
828,YHR123W,pe_SC_c,0.01,False
830,YHR123W,12dgr_SC_c,-0.01,False
854,YIL078W,trnathr_c,-1.0,False
855,YIL078W,thrtrna_c,1.0,False
859,YIL099W,glycogen_v,-1.0,False
865,YIL124W,1agly3p_SC_c,-0.01,False
1003,YJR073C,ptdmeeta_SC_c,-0.01,False
1004,YJR073C,ptd2meeta_SC_c,0.01,False
1033,YJR153W,pectin_e,-1.0,False
1040,YKL004W,ptd1ino_SC_c,-0.01,False
1041,YKL004W,ptd1ino_SC_c,-0.01,False
1042,YKL004W,ptd1ino_SC_c,-0.01,False
1043,YKL004W,ptd1ino_SC_c,-0.01,False
1044,YKL004W,ptd1ino_SC_c,-0.01,False
1045,YKL004W,ptd1ino_SC_c,-0.01,False
1046,YKL004W,ipc326_SC_c,0.01,False
1047,YKL004W,ipc324_SC_c,0.01,False
1048,YKL004W,ipc226_SC_c,0.01,False
1049,YKL004W,ipc224_SC_c,0.01,False
1050,YKL004W,ipc126_SC_c,0.01,False
1051,YKL004W,ipc124_SC_c,0.01,False
1052,YKL004W,cer3_26_c,-1.0,False
1053,YKL004W,cer3_24_c,-1.0,False
1058,YKL004W,12dgr_SC_c,0.01,False
1059,YKL004W,12dgr_SC_c,0.01,False
1060,YKL004W,12dgr_SC_c,0.01,False
1061,YKL004W,12dgr_SC_c,0.01,False
1062,YKL004W,12dgr_SC_c,0.01,False
1063,YKL004W,12dgr_SC_c,0.01,False
1123,YKL194C,trnathr_m,-1.0,False
1124,YKL194C,thrtrna_m,1.0,False
1170,YKR031C,pc_SC_c,-0.01,False
1171,YKR031C,pa_SC_c,0.01,False
1179,YKR093W,pepd_e,-1.0,False
1180,YKR093W,pepd_c,1.0,False
1183,YLL018C,trnaasp_c,-1.0,False
1184,YLL018C,asptrna_c,1.0,False
1218,YLR020C,lanostest_SC_e,-0.01,False
1232,YLR020C,fecostest_SC_e,-0.01,False
1234,YLR020C,ergstest_SC_e,-0.01,False
1236,YLR020C,epistest_SC_e,-0.01,False
1254,YLR056W,ergtrol_c,1.0,False
